PARAMETER,YEAR,LAT,LON,ANN-Wind
WS2M,2010,-10,33.125,2.21
WS2M,2010,-10,33.75,2.63
WS2M,2010,-10,34.375,4.19
WS2M,2010,-10,35,1.21
WS2M,2010,-10,35.625,0.92
WS2M,2010,-10.5,33.125,2.16
WS2M,2010,-10.5,33.75,2.15
WS2M,2010,-10.5,34.375,3.84
WS2M,2010,-10.5,35,2.56
WS2M,2010,-10.5,35.625,2.46
WS2M,2010,-11,33.125,2.48
WS2M,2010,-11,33.75,2.74
WS2M,2010,-11,34.375,3.92
WS2M,2010,-11,35,3.12
WS2M,2010,-11,35.625,1.28
WS2M,2010,-11.5,33.125,2.86
WS2M,2010,-11.5,33.75,2.44
WS2M,2010,-11.5,34.375,3.91
WS2M,2010,-11.5,35,3.23
WS2M,2010,-11.5,35.625,2.2
WS2M,2010,-12,33.125,3.05
WS2M,2010,-12,33.75,1.77
WS2M,2010,-12,34.375,3.98
WS2M,2010,-12,35,3.08
WS2M,2010,-12,35.625,2.32
WS2M,2010,-12.5,33.125,3.08
WS2M,2010,-12.5,33.75,2.06
WS2M,2010,-12.5,34.375,4.14
WS2M,2010,-12.5,35,3.18
WS2M,2010,-12.5,35.625,2.17
WS2M,2010,-13,33.125,2.87
WS2M,2010,-13,33.75,2.4
WS2M,2010,-13,34.375,3.92
WS2M,2010,-13,35,3.41
WS2M,2010,-13,35.625,2.01
WS2M,2010,-13.5,33.125,2.65
WS2M,2010,-13.5,33.75,2.63
WS2M,2010,-13.5,34.375,3.83
WS2M,2010,-13.5,35,3.66
WS2M,2010,-13.5,35.625,2.27
WS2M,2010,-14,33.125,2.41
WS2M,2010,-14,33.75,2.42
WS2M,2010,-14,34.375,2.75
WS2M,2010,-14,35,3.83
WS2M,2010,-14,35.625,2.37
WS2M,2010,-14.5,33.125,2.41
WS2M,2010,-14.5,33.75,2.45
WS2M,2010,-14.5,34.375,1.63
WS2M,2010,-14.5,35,2.55
WS2M,2010,-14.5,35.625,2.47
WS2M,2010,-15,33.125,2.67
WS2M,2010,-15,33.75,2.43
WS2M,2010,-15,34.375,2.34
WS2M,2010,-15,35,2.09
WS2M,2010,-15,35.625,2.87
WS2M,2010,-15.5,33.125,2.76
WS2M,2010,-15.5,33.75,2.48
WS2M,2010,-15.5,34.375,2.42
WS2M,2010,-15.5,35,2.03
WS2M,2010,-15.5,35.625,2.49
WS2M,2010,-16,33.125,2.77
WS2M,2010,-16,33.75,2.68
WS2M,2010,-16,34.375,2.46
WS2M,2010,-16,35,2.11
WS2M,2010,-16,35.625,1.77
WS2M,2010,-16.5,33.125,2.88
WS2M,2010,-16.5,33.75,2.94
WS2M,2010,-16.5,34.375,2.7
WS2M,2010,-16.5,35,2.36
WS2M,2010,-16.5,35.625,2.17
WS2M,2010,-17,33.125,2.95
WS2M,2010,-17,33.75,3.16
WS2M,2010,-17,34.375,2.81
WS2M,2010,-17,35,2.49
WS2M,2010,-17,35.625,2.61
WS2M,2010,-9.5,33.125,2.44
WS2M,2010,-9.5,33.75,1.11
WS2M,2010,-9.5,34.375,1.73
WS2M,2010,-9.5,35,0.82
WS2M,2010,-9.5,35.625,0.05
WS2M,2011,-10,33.125,2.03
WS2M,2011,-10,33.75,2.43
WS2M,2011,-10,34.375,3.94
WS2M,2011,-10,35,1.12
WS2M,2011,-10,35.625,0.85
WS2M,2011,-10.5,33.125,2.02
WS2M,2011,-10.5,33.75,1.95
WS2M,2011,-10.5,34.375,3.62
WS2M,2011,-10.5,35,2.33
WS2M,2011,-10.5,35.625,2.22
WS2M,2011,-11,33.125,2.35
WS2M,2011,-11,33.75,2.48
WS2M,2011,-11,34.375,3.67
WS2M,2011,-11,35,2.84
WS2M,2011,-11,35.625,1.17
WS2M,2011,-11.5,33.125,2.66
WS2M,2011,-11.5,33.75,2.23
WS2M,2011,-11.5,34.375,3.7
WS2M,2011,-11.5,35,2.99
WS2M,2011,-11.5,35.625,1.98
WS2M,2011,-12,33.125,2.79
WS2M,2011,-12,33.75,1.61
WS2M,2011,-12,34.375,3.77
WS2M,2011,-12,35,2.87
WS2M,2011,-12,35.625,2.11
WS2M,2011,-12.5,33.125,2.78
WS2M,2011,-12.5,33.75,1.85
WS2M,2011,-12.5,34.375,3.9
WS2M,2011,-12.5,35,2.93
WS2M,2011,-12.5,35.625,2
WS2M,2011,-13,33.125,2.6
WS2M,2011,-13,33.75,2.16
WS2M,2011,-13,34.375,3.71
WS2M,2011,-13,35,3.16
WS2M,2011,-13,35.625,1.87
WS2M,2011,-13.5,33.125,2.43
WS2M,2011,-13.5,33.75,2.37
WS2M,2011,-13.5,34.375,3.61
WS2M,2011,-13.5,35,3.4
WS2M,2011,-13.5,35.625,2.12
WS2M,2011,-14,33.125,2.23
WS2M,2011,-14,33.75,2.21
WS2M,2011,-14,34.375,2.56
WS2M,2011,-14,35,3.56
WS2M,2011,-14,35.625,2.26
WS2M,2011,-14.5,33.125,2.26
WS2M,2011,-14.5,33.75,2.26
WS2M,2011,-14.5,34.375,1.51
WS2M,2011,-14.5,35,2.4
WS2M,2011,-14.5,35.625,2.4
WS2M,2011,-15,33.125,2.48
WS2M,2011,-15,33.75,2.29
WS2M,2011,-15,34.375,2.18
WS2M,2011,-15,35,1.98
WS2M,2011,-15,35.625,2.8
WS2M,2011,-15.5,33.125,2.49
WS2M,2011,-15.5,33.75,2.31
WS2M,2011,-15.5,34.375,2.28
WS2M,2011,-15.5,35,1.95
WS2M,2011,-15.5,35.625,2.43
WS2M,2011,-16,33.125,2.51
WS2M,2011,-16,33.75,2.44
WS2M,2011,-16,34.375,2.3
WS2M,2011,-16,35,2.05
WS2M,2011,-16,35.625,1.77
WS2M,2011,-16.5,33.125,2.61
WS2M,2011,-16.5,33.75,2.7
WS2M,2011,-16.5,34.375,2.55
WS2M,2011,-16.5,35,2.25
WS2M,2011,-16.5,35.625,2.11
WS2M,2011,-17,33.125,2.72
WS2M,2011,-17,33.75,2.94
WS2M,2011,-17,34.375,2.67
WS2M,2011,-17,35,2.37
WS2M,2011,-17,35.625,2.5
WS2M,2011,-9.5,33.125,2.24
WS2M,2011,-9.5,33.75,1.05
WS2M,2011,-9.5,34.375,1.61
WS2M,2011,-9.5,35,0.76
WS2M,2011,-9.5,35.625,0.07
WS2M,2012,-10,33.125,2.12
WS2M,2012,-10,33.75,2.48
WS2M,2012,-10,34.375,3.93
WS2M,2012,-10,35,1.15
WS2M,2012,-10,35.625,0.86
WS2M,2012,-10.5,33.125,2.1
WS2M,2012,-10.5,33.75,2.01
WS2M,2012,-10.5,34.375,3.64
WS2M,2012,-10.5,35,2.37
WS2M,2012,-10.5,35.625,2.26
WS2M,2012,-11,33.125,2.41
WS2M,2012,-11,33.75,2.55
WS2M,2012,-11,34.375,3.73
WS2M,2012,-11,35,2.91
WS2M,2012,-11,35.625,1.23
WS2M,2012,-11.5,33.125,2.73
WS2M,2012,-11.5,33.75,2.29
WS2M,2012,-11.5,34.375,3.75
WS2M,2012,-11.5,35,3.03
WS2M,2012,-11.5,35.625,2.17
WS2M,2012,-12,33.125,2.88
WS2M,2012,-12,33.75,1.67
WS2M,2012,-12,34.375,3.85
