PARAMETER,YEAR,LAT,LON,ANN-Temp
T2M,2010,-10,33.125,21.52
T2M,2010,-10,33.75,22.94
T2M,2010,-10,34.375,25.22
T2M,2010,-10,35,20.82
T2M,2010,-10,35.625,22.74
T2M,2010,-10.5,33.125,22.77
T2M,2010,-10.5,33.75,18.91
T2M,2010,-10.5,34.375,27.03
T2M,2010,-10.5,35,23.04
T2M,2010,-10.5,35.625,21.71
T2M,2010,-11,33.125,23.43
T2M,2010,-11,33.75,19.62
T2M,2010,-11,34.375,26.49
T2M,2010,-11,35,22.11
T2M,2010,-11,35.625,22.23
T2M,2010,-11.5,33.125,22.69
T2M,2010,-11.5,33.75,19.57
T2M,2010,-11.5,34.375,26.49
T2M,2010,-11.5,35,23.48
T2M,2010,-11.5,35.625,23.37
T2M,2010,-12,33.125,21.37
T2M,2010,-12,33.75,19.82
T2M,2010,-12,34.375,26.48
T2M,2010,-12,35,24.49
T2M,2010,-12,35.625,22.39
T2M,2010,-12.5,33.125,20.98
T2M,2010,-12.5,33.75,20.91
T2M,2010,-12.5,34.375,26.63
T2M,2010,-12.5,35,23.61
T2M,2010,-12.5,35.625,20.57
T2M,2010,-13,33.125,21.33
T2M,2010,-13,33.75,21.31
T2M,2010,-13,34.375,26.62
T2M,2010,-13,35,22.8
T2M,2010,-13,35.625,19.75
T2M,2010,-13.5,33.125,21.44
T2M,2010,-13.5,33.75,20.65
T2M,2010,-13.5,34.375,26.1
T2M,2010,-13.5,35,23.79
T2M,2010,-13.5,35.625,20.91
T2M,2010,-14,33.125,21.82
T2M,2010,-14,33.75,20.52
T2M,2010,-14,34.375,22.38
T2M,2010,-14,35,24.51
T2M,2010,-14,35.625,21.7
T2M,2010,-14.5,33.125,23.23
T2M,2010,-14.5,33.75,20.4
T2M,2010,-14.5,34.375,19.29
T2M,2010,-14.5,35,24.05
T2M,2010,-14.5,35.625,22.42
T2M,2010,-15,33.125,24.73
T2M,2010,-15,33.75,21.68
T2M,2010,-15,34.375,19.74
