"temperature","date"
295.95292713254,2015-01-01
296.409449377725,2015-02-01
296.179215116279,2015-03-01
295.374828817678,2015-04-01
294.288969669786,2015-05-01
292.394756938136,2015-06-01
292.431381722384,2015-07-01
293.810943745458,2015-08-01
296.488493311682,2015-09-01
298.80570366438,2015-10-01
298.751571016533,2015-11-01
298.002241551599,2015-12-01
297.247647449582,2016-01-01
297.576403098883,2016-02-01
297.619353112509,2016-03-01
295.891048271711,2016-04-01
293.13223422738,2016-05-01
291.767638592387,2016-06-01
291.66855851994,2016-07-01
293.298149925055,2016-08-01
296.12021739871,2016-09-01
298.704300565498,2016-10-01
299.216346066497,2016-11-01
297.654447901526,2016-12-01
296.725118663699,2017-01-01
296.678356649709,2017-02-01
295.749839321403,2017-03-01
295.06292767192,2017-04-01
294.381564260084,2017-05-01
292.543845385174,2017-06-01
292.107878645076,2017-07-01
293.327879581895,2017-08-01
296.167631211392,2017-09-01
298.739159304597,2017-10-01
297.852125868686,2017-11-01
296.670686943586,2017-12-01
296.30480176349,2018-01-01
296.835260435592,2018-02-01
296.267871945403,2018-03-01
295.180552779797,2018-04-01
294.569152264262,2018-05-01
292.249127623092,2018-06-01
291.15859885992,2018-07-01
294.235086272484,2018-08-01
296.905092603107,2018-09-01
296.984096509357,2018-10-01
297.857579572811,2018-11-01
296.682861895894,2018-12-01
296.506170512355,2019-01-01
296.612336056731,2019-02-01
296.399623143396,2019-03-01
295.882261338345,2019-04-01
294.028679426326,2019-05-01
291.465974177871,2019-06-01
291.721873864462,2019-07-01
293.965934434048,2019-08-01
295.614964684775,2019-09-01
298.63688084802,2019-10-01
299.033940656795,2019-11-01
297.206794774255,2019-12-01
296.474932435501,2020-01-01
296.668635878452,2020-02-01
296.29416234216,2020-03-01
296.256860635447,2020-04-01
294.043589747229,2020-05-01
292.192906437364,2020-06-01
291.041300644985,2020-07-01
293.593676757812,2020-08-01
295.830115455805,2020-09-01
298.278008891261,2020-10-01
299.737266646984,2020-11-01
297.291332440044,2020-12-01
296.424228685956,2021-01-01
296.830908770894,2021-02-01
295.581991506177,2021-03-01
294.726315804415,2021-04-01
292.754420364735,2021-05-01
291.652720180778,2021-06-01
291.026202676463,2021-07-01
293.339071016533,2021-08-01
295.76856490734,2021-09-01
297.845074037064,2021-10-01
299.899563101835,2021-11-01
299.718374988645,2021-12-01
296.07371897143,2022-01-01
295.810427217705,2022-02-01
296.042848382994,2022-03-01
295.556306918832,2022-04-01
293.78525390625,2022-05-01
291.007201154842,2022-06-01
291.349629246911,2022-07-01
293.365865734012,2022-08-01
295.216135140352,2022-09-01
298.415952886537,2022-10-01
298.54022415516,2022-11-01
296.42628613849,2022-12-01
295.904855559593,2023-01-01
296.525725466706,2023-02-01
295.832994469931,2023-03-01
295.125669825354,2023-04-01
294.377109971157,2023-05-01
293.566536552962,2023-06-01
291.851626374001,2023-07-01
293.415388240371,2023-08-01
297.047433400709,2023-09-01
299.306373915561,2023-10-01
298.925147619913,2023-11-01
298.889239643895,2023-12-01
296.824975869822,2024-01-01
297.44167366915,2024-02-01
297.009774993187,2024-03-01
295.877225937954,2024-04-01
293.951516226835,2024-05-01
292.128776372865,2024-06-01
292.820294331395,2024-07-01
293.882811932231,2024-08-01
296.174618175418,2024-09-01
297.223981706486,2024-10-01
298.672788256268,2024-11-01
299.016567496366,2024-12-01
