-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/30/2015 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
QV2M     MERRA-2 Specific Humidity at 2 Meters (g/kg) 
-END HEADER-
LAT,LON,YEAR,MO,DY,QV2M
-17.0,32.5,2015,1,1,16.6
-17.0,33.125,2015,1,1,17.36
-17.0,33.75,2015,1,1,17.58
-17.0,34.375,2015,1,1,18.21
-17.0,35.0,2015,1,1,18.2
-17.0,35.625,2015,1,1,17.62
-17.0,36.25,2015,1,1,17.7
-17.0,36.875,2015,1,1,18.14
-16.5,32.5,2015,1,1,17.31
-16.5,33.125,2015,1,1,17.83
-16.5,33.75,2015,1,1,17.95
-16.5,34.375,2015,1,1,18.07
-16.5,35.0,2015,1,1,18.03
-16.5,35.625,2015,1,1,17.13
-16.5,36.25,2015,1,1,17.46
-16.5,36.875,2015,1,1,17.95
-16.0,32.5,2015,1,1,17.8
-16.0,33.125,2015,1,1,18.24
-16.0,33.75,2015,1,1,18.04
-16.0,34.375,2015,1,1,17.66
-16.0,35.0,2015,1,1,16.92
-16.0,35.625,2015,1,1,16.05
-16.0,36.25,2015,1,1,17.11
-16.0,36.875,2015,1,1,17.41
-15.5,32.5,2015,1,1,17.92
-15.5,33.125,2015,1,1,18.14
-15.5,33.75,2015,1,1,17.58
-15.5,34.375,2015,1,1,16.61
-15.5,35.0,2015,1,1,16.85
-15.5,35.625,2015,1,1,16.8
-15.5,36.25,2015,1,1,17.01
-15.5,36.875,2015,1,1,17.04
-15.0,32.5,2015,1,1,17.24
-15.0,33.125,2015,1,1,17.32
-15.0,33.75,2015,1,1,16.19
-15.0,34.375,2015,1,1,15.7
-15.0,35.0,2015,1,1,17.08
-15.0,35.625,2015,1,1,17.47
-15.0,36.25,2015,1,1,17.54
-15.0,36.875,2015,1,1,17.12
-14.5,32.5,2015,1,1,16.51
-14.5,33.125,2015,1,1,16.29
-14.5,33.75,2015,1,1,15.37
-14.5,34.375,2015,1,1,15.26
-14.5,35.0,2015,1,1,17.27
-14.5,35.625,2015,1,1,16.77
-14.5,36.25,2015,1,1,17.36
-14.5,36.875,2015,1,1,17.78
-14.0,32.5,2015,1,1,15.81
-14.0,33.125,2015,1,1,15.66
-14.0,33.75,2015,1,1,15.4
-14.0,34.375,2015,1,1,16.19
-14.0,35.0,2015,1,1,17.07
-14.0,35.625,2015,1,1,16.48
-14.0,36.25,2015,1,1,17.27
-14.0,36.875,2015,1,1,17.46
-13.5,32.5,2015,1,1,16.07
-13.5,33.125,2015,1,1,15.62
-13.5,33.75,2015,1,1,15.4
-13.5,34.375,2015,1,1,17.23
-13.5,35.0,2015,1,1,16.68
-13.5,35.625,2015,1,1,15.83
-13.5,36.25,2015,1,1,17.26
-13.5,36.875,2015,1,1,17.11
-13.0,32.5,2015,1,1,16.51
-13.0,33.125,2015,1,1,15.63
-13.0,33.75,2015,1,1,15.59
-13.0,34.375,2015,1,1,17.06
-13.0,35.0,2015,1,1,15.92
-13.0,35.625,2015,1,1,15.15
-13.0,36.25,2015,1,1,16.89
-13.0,36.875,2015,1,1,17.63
-12.5,32.5,2015,1,1,16.72
-12.5,33.125,2015,1,1,15.32
-12.5,33.75,2015,1,1,15.52
-12.5,34.375,2015,1,1,16.45
-12.5,35.0,2015,1,1,15.96
-12.5,35.625,2015,1,1,15.33
-12.5,36.25,2015,1,1,16.58
-12.5,36.875,2015,1,1,17.6
-12.0,32.5,2015,1,1,16.67
-12.0,33.125,2015,1,1,15.35
-12.0,33.75,2015,1,1,15.12
-12.0,34.375,2015,1,1,16.12
-12.0,35.0,2015,1,1,16.29
-12.0,35.625,2015,1,1,16.36
-12.0,36.25,2015,1,1,17.05
-12.0,36.875,2015,1,1,17.59
-11.5,32.5,2015,1,1,15.98
-11.5,33.125,2015,1,1,15.87
-11.5,33.75,2015,1,1,14.88
-11.5,34.375,2015,1,1,16.11
-11.5,35.0,2015,1,1,15.94
-11.5,35.625,2015,1,1,17.04
-11.5,36.25,2015,1,1,17.29
-11.5,36.875,2015,1,1,17.51
-11.0,32.5,2015,1,1,15.16
-11.0,33.125,2015,1,1,15.94
-11.0,33.75,2015,1,1,14.62
-11.0,34.375,2015,1,1,15.76
-11.0,35.0,2015,1,1,16.06
-11.0,35.625,2015,1,1,16.88
-11.0,36.25,2015,1,1,16.89
-11.0,36.875,2015,1,1,17.2
-10.5,32.5,2015,1,1,14.62
-10.5,33.125,2015,1,1,15.4
-10.5,33.75,2015,1,1,14.36
-10.5,34.375,2015,1,1,16.34
-10.5,35.0,2015,1,1,16.75
-10.5,35.625,2015,1,1,16.57
-10.5,36.25,2015,1,1,16.76
-10.5,36.875,2015,1,1,17.32
-10.0,32.5,2015,1,1,14.22
-10.0,33.125,2015,1,1,14.89
-10.0,33.75,2015,1,1,15.59
-10.0,34.375,2015,1,1,15.73
-10.0,35.0,2015,1,1,15.82
-10.0,35.625,2015,1,1,17.04
-10.0,36.25,2015,1,1,17.13
-10.0,36.875,2015,1,1,17.77
-9.5,32.5,2015,1,1,14.19
-9.5,33.125,2015,1,1,13.95
-9.5,33.75,2015,1,1,14.28
-9.5,34.375,2015,1,1,13.34
-9.5,35.0,2015,1,1,14.07
-9.5,35.625,2015,1,1,17.39
-9.5,36.25,2015,1,1,17.49
-9.5,36.875,2015,1,1,18.19
-9.0,32.5,2015,1,1,14.16
-9.0,33.125,2015,1,1,13.9
-9.0,33.75,2015,1,1,12.87
-9.0,34.375,2015,1,1,13.51
-9.0,35.0,2015,1,1,13.8
-9.0,35.625,2015,1,1,17.02
-9.0,36.25,2015,1,1,18.09
-9.0,36.875,2015,1,1,18.3
-17.0,32.5,2015,1,2,15.32
-17.0,33.125,2015,1,2,16.16
-17.0,33.75,2015,1,2,16.7
-17.0,34.375,2015,1,2,17.98
-17.0,35.0,2015,1,2,18.23
-17.0,35.625,2015,1,2,17.81
-17.0,36.25,2015,1,2,17.86
-17.0,36.875,2015,1,2,18.26
-16.5,32.5,2015,1,2,16.38
-16.5,33.125,2015,1,2,17.04
-16.5,33.75,2015,1,2,17.71
-16.5,34.375,2015,1,2,18.47
-16.5,35.0,2015,1,2,18.62
-16.5,35.625,2015,1,2,17.79
-16.5,36.25,2015,1,2,18.04
-16.5,36.875,2015,1,2,18.38
-16.0,32.5,2015,1,2,17.3
-16.0,33.125,2015,1,2,17.77
-16.0,33.75,2015,1,2,18.2
-16.0,34.375,2015,1,2,18.42
-16.0,35.0,2015,1,2,17.99
-16.0,35.625,2015,1,2,17.05
-16.0,36.25,2015,1,2,17.85
-16.0,36.875,2015,1,2,18.16
-15.5,32.5,2015,1,2,17.71
-15.5,33.125,2015,1,2,17.9
-15.5,33.75,2015,1,2,17.65
-15.5,34.375,2015,1,2,17.1
-15.5,35.0,2015,1,2,17.72
-15.5,35.625,2015,1,2,17.56
-15.5,36.25,2015,1,2,17.6
-15.5,36.875,2015,1,2,17.52
-15.0,32.5,2015,1,2,17.4
-15.0,33.125,2015,1,2,17.52
-15.0,33.75,2015,1,2,16.32
-15.0,34.375,2015,1,2,15.9
-15.0,35.0,2015,1,2,17.61
-15.0,35.625,2015,1,2,17.77
-15.0,36.25,2015,1,2,17.88
-15.0,36.875,2015,1,2,17.32
-14.5,32.5,2015,1,2,16.73
-14.5,33.125,2015,1,2,16.71
-14.5,33.75,2015,1,2,15.78
-14.5,34.375,2015,1,2,15.51
-14.5,35.0,2015,1,2,17.69
-14.5,35.625,2015,1,2,16.96
-14.5,36.25,2015,1,2,17.52
-14.5,36.875,2015,1,2,17.91
-14.0,32.5,2015,1,2,15.98
-14.0,33.125,2015,1,2,15.89
-14.0,33.75,2015,1,2,15.6
-14.0,34.375,2015,1,2,16.5
-14.0,35.0,2015,1,2,17.21
-14.0,35.625,2015,1,2,16.27
-14.0,36.25,2015,1,2,17.36
-14.0,36.875,2015,1,2,17.71
-13.5,32.5,2015,1,2,16.18
-13.5,33.125,2015,1,2,15.52
-13.5,33.75,2015,1,2,15.49
-13.5,34.375,2015,1,2,17.57
-13.5,35.0,2015,1,2,16.58
-13.5,35.625,2015,1,2,15.79
-13.5,36.25,2015,1,2,17.39
-13.5,36.875,2015,1,2,17.45
-13.0,32.5,2015,1,2,16.75
-13.0,33.125,2015,1,2,15.74
-13.0,33.75,2015,1,2,15.86
-13.0,34.375,2015,1,2,17.32
-13.0,35.0,2015,1,2,15.93
-13.0,35.625,2015,1,2,15.29
-13.0,36.25,2015,1,2,17.09
-13.0,36.875,2015,1,2,18.04
-12.5,32.5,2015,1,2,17.05
-12.5,33.125,2015,1,2,15.52
-12.5,33.75,2015,1,2,15.79
-12.5,34.375,2015,1,2,16.2
-12.5,35.0,2015,1,2,16.15
-12.5,35.625,2015,1,2,15.74
-12.5,36.25,2015,1,2,17.12
-12.5,36.875,2015,1,2,18.06
-12.0,32.5,2015,1,2,16.92
-12.0,33.125,2015,1,2,15.43
-12.0,33.75,2015,1,2,15.2
-12.0,34.375,2015,1,2,16.12
-12.0,35.0,2015,1,2,16.64
-12.0,35.625,2015,1,2,16.91
-12.0,36.25,2015,1,2,17.66
-12.0,36.875,2015,1,2,18.06
-11.5,32.5,2015,1,2,16.01
-11.5,33.125,2015,1,2,15.71
-11.5,33.75,2015,1,2,14.87
-11.5,34.375,2015,1,2,16.28
-11.5,35.0,2015,1,2,16.23
-11.5,35.625,2015,1,2,17.33
-11.5,36.25,2015,1,2,17.82
-11.5,36.875,2015,1,2,17.71
-11.0,32.5,2015,1,2,15.33
-11.0,33.125,2015,1,2,15.65
-11.0,33.75,2015,1,2,14.62
-11.0,34.375,2015,1,2,16.11
-11.0,35.0,2015,1,2,16.05
-11.0,35.625,2015,1,2,16.88
-11.0,36.25,2015,1,2,17.35
-11.0,36.875,2015,1,2,17.3
-10.5,32.5,2015,1,2,15.07
-10.5,33.125,2015,1,2,15.35
-10.5,33.75,2015,1,2,14.42
-10.5,34.375,2015,1,2,16.07
-10.5,35.0,2015,1,2,16.48
-10.5,35.625,2015,1,2,16.64
-10.5,36.25,2015,1,2,17.02
-10.5,36.875,2015,1,2,17.3
-10.0,32.5,2015,1,2,14.69
-10.0,33.125,2015,1,2,15.0
-10.0,33.75,2015,1,2,15.78
-10.0,34.375,2015,1,2,15.23
-10.0,35.0,2015,1,2,15.49
-10.0,35.625,2015,1,2,16.98
-10.0,36.25,2015,1,2,17.2
-10.0,36.875,2015,1,2,17.48
-9.5,32.5,2015,1,2,14.49
-9.5,33.125,2015,1,2,14.06
-9.5,33.75,2015,1,2,14.44
-9.5,34.375,2015,1,2,13.14
