-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2017 through 12/30/2017 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
QV2M     MERRA-2 Specific Humidity at 2 Meters (g/kg) 
-END HEADER-
LAT,LON,YEAR,MO,DY,QV2M
-17.0,32.5,2017,1,1,15.83
-17.0,33.125,2017,1,1,16.33
-17.0,33.75,2017,1,1,15.98
-17.0,34.375,2017,1,1,16.93
-17.0,35.0,2017,1,1,17.74
-17.0,35.625,2017,1,1,17.87
-17.0,36.25,2017,1,1,17.31
-17.0,36.875,2017,1,1,16.55
-16.5,32.5,2017,1,1,15.83
-16.5,33.125,2017,1,1,15.95
-16.5,33.75,2017,1,1,16.16
-16.5,34.375,2017,1,1,16.96
-16.5,35.0,2017,1,1,17.69
-16.5,35.625,2017,1,1,16.89
-16.5,36.25,2017,1,1,16.27
-16.5,36.875,2017,1,1,15.7
-16.0,32.5,2017,1,1,16.07
-16.0,33.125,2017,1,1,16.37
-16.0,33.75,2017,1,1,16.34
-16.0,34.375,2017,1,1,16.24
-16.0,35.0,2017,1,1,16.53
-16.0,35.625,2017,1,1,15.78
-16.0,36.25,2017,1,1,15.68
-16.0,36.875,2017,1,1,15.1
-15.5,32.5,2017,1,1,16.64
-15.5,33.125,2017,1,1,16.51
-15.5,33.75,2017,1,1,16.25
-15.5,34.375,2017,1,1,15.83
-15.5,35.0,2017,1,1,16.14
-15.5,35.625,2017,1,1,16.08
-15.5,36.25,2017,1,1,15.15
-15.5,36.875,2017,1,1,14.65
-15.0,32.5,2017,1,1,16.77
-15.0,33.125,2017,1,1,16.68
-15.0,33.75,2017,1,1,15.68
-15.0,34.375,2017,1,1,15.15
-15.0,35.0,2017,1,1,15.98
-15.0,35.625,2017,1,1,15.89
-15.0,36.25,2017,1,1,15.18
-15.0,36.875,2017,1,1,15.07
-14.5,32.5,2017,1,1,16.52
-14.5,33.125,2017,1,1,15.86
-14.5,33.75,2017,1,1,14.99
-14.5,34.375,2017,1,1,14.85
-14.5,35.0,2017,1,1,16.15
-14.5,35.625,2017,1,1,15.52
-14.5,36.25,2017,1,1,15.13
-14.5,36.875,2017,1,1,14.94
-14.0,32.5,2017,1,1,15.83
-14.0,33.125,2017,1,1,15.2
-14.0,33.75,2017,1,1,14.73
-14.0,34.375,2017,1,1,15.59
-14.0,35.0,2017,1,1,15.99
-14.0,35.625,2017,1,1,15.05
-14.0,36.25,2017,1,1,15.1
-14.0,36.875,2017,1,1,14.73
-13.5,32.5,2017,1,1,15.53
-13.5,33.125,2017,1,1,14.88
-13.5,33.75,2017,1,1,14.83
-13.5,34.375,2017,1,1,16.04
-13.5,35.0,2017,1,1,15.43
-13.5,35.625,2017,1,1,15.12
-13.5,36.25,2017,1,1,15.5
-13.5,36.875,2017,1,1,14.25
-13.0,32.5,2017,1,1,15.64
-13.0,33.125,2017,1,1,14.88
-13.0,33.75,2017,1,1,15.18
-13.0,34.375,2017,1,1,16.15
-13.0,35.0,2017,1,1,15.27
-13.0,35.625,2017,1,1,14.94
-13.0,36.25,2017,1,1,15.2
-13.0,36.875,2017,1,1,14.28
-12.5,32.5,2017,1,1,16.13
-12.5,33.125,2017,1,1,14.76
-12.5,33.75,2017,1,1,15.11
-12.5,34.375,2017,1,1,16.34
-12.5,35.0,2017,1,1,15.45
-12.5,35.625,2017,1,1,15.04
-12.5,36.25,2017,1,1,15.26
-12.5,36.875,2017,1,1,14.05
-12.0,32.5,2017,1,1,16.49
-12.0,33.125,2017,1,1,14.53
-12.0,33.75,2017,1,1,14.84
-12.0,34.375,2017,1,1,16.51
-12.0,35.0,2017,1,1,15.33
-12.0,35.625,2017,1,1,15.0
-12.0,36.25,2017,1,1,14.86
-12.0,36.875,2017,1,1,13.75
-11.5,32.5,2017,1,1,16.48
-11.5,33.125,2017,1,1,15.39
-11.5,33.75,2017,1,1,14.95
-11.5,34.375,2017,1,1,16.14
-11.5,35.0,2017,1,1,14.77
-11.5,35.625,2017,1,1,14.41
-11.5,36.25,2017,1,1,13.45
-11.5,36.875,2017,1,1,13.16
-11.0,32.5,2017,1,1,15.88
-11.0,33.125,2017,1,1,16.23
-11.0,33.75,2017,1,1,15.08
-11.0,34.375,2017,1,1,16.11
-11.0,35.0,2017,1,1,14.33
-11.0,35.625,2017,1,1,13.74
-11.0,36.25,2017,1,1,13.25
-11.0,36.875,2017,1,1,13.19
-10.5,32.5,2017,1,1,15.36
-10.5,33.125,2017,1,1,15.93
-10.5,33.75,2017,1,1,14.55
-10.5,34.375,2017,1,1,15.27
-10.5,35.0,2017,1,1,14.12
-10.5,35.625,2017,1,1,14.27
-10.5,36.25,2017,1,1,13.72
-10.5,36.875,2017,1,1,13.9
-10.0,32.5,2017,1,1,14.4
-10.0,33.125,2017,1,1,15.08
-10.0,33.75,2017,1,1,15.2
-10.0,34.375,2017,1,1,14.51
-10.0,35.0,2017,1,1,13.56
-10.0,35.625,2017,1,1,14.69
-10.0,36.25,2017,1,1,14.22
-10.0,36.875,2017,1,1,14.5
-9.5,32.5,2017,1,1,14.06
-9.5,33.125,2017,1,1,14.19
-9.5,33.75,2017,1,1,14.45
-9.5,34.375,2017,1,1,12.63
-9.5,35.0,2017,1,1,13.53
-9.5,35.625,2017,1,1,15.28
-9.5,36.25,2017,1,1,14.65
-9.5,36.875,2017,1,1,15.12
-9.0,32.5,2017,1,1,14.02
-9.0,33.125,2017,1,1,14.24
-9.0,33.75,2017,1,1,12.91
-9.0,34.375,2017,1,1,12.79
-9.0,35.0,2017,1,1,13.68
-9.0,35.625,2017,1,1,15.68
-9.0,36.25,2017,1,1,15.36
-9.0,36.875,2017,1,1,14.76
-17.0,32.5,2017,1,2,15.49
-17.0,33.125,2017,1,2,16.25
-17.0,33.75,2017,1,2,16.34
-17.0,34.375,2017,1,2,17.29
-17.0,35.0,2017,1,2,17.68
-17.0,35.625,2017,1,2,17.55
-17.0,36.25,2017,1,2,17.11
-17.0,36.875,2017,1,2,16.46
-16.5,32.5,2017,1,2,15.71
-16.5,33.125,2017,1,2,16.09
-16.5,33.75,2017,1,2,16.53
-16.5,34.375,2017,1,2,17.04
-16.5,35.0,2017,1,2,17.54
-16.5,35.625,2017,1,2,16.68
-16.5,36.25,2017,1,2,16.17
-16.5,36.875,2017,1,2,15.56
-16.0,32.5,2017,1,2,15.95
