-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2010 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,2010,-10.0,33.125,6.96,8.02,7.12,3.08,1.78,0.24,0.07,0.61,0.0,0.01,1.16,7.05,2.99
PRECTOTCORR,2010,-10.0,33.75,6.76,7.75,7.22,3.07,1.86,0.27,0.07,0.63,0.0,0.0,1.07,6.12,2.88
PRECTOTCORR,2010,-10.0,34.375,6.31,5.41,6.35,1.78,1.24,0.16,0.04,0.12,0.0,0.0,0.77,4.49,2.21
PRECTOTCORR,2010,-10.0,35.0,7.94,6.15,5.65,2.64,1.59,0.13,0.09,0.24,0.01,0.01,0.58,5.01,2.49
PRECTOTCORR,2010,-10.0,35.625,9.62,7.98,3.54,2.62,1.27,0.06,0.14,0.4,0.01,0.03,0.31,5.44,2.59
PRECTOTCORR,2010,-10.5,33.125,7.64,7.75,5.51,1.67,0.72,0.26,0.04,0.14,0.0,0.0,1.37,7.02,2.66
PRECTOTCORR,2010,-10.5,33.75,8.32,8.29,6.39,2.47,1.04,0.45,0.06,0.23,0.0,0.0,1.68,7.01,2.97
PRECTOTCORR,2010,-10.5,34.375,7.93,6.47,5.94,2.01,0.73,0.29,0.04,0.08,0.0,0.0,1.46,5.84,2.55
PRECTOTCORR,2010,-10.5,35.0,8.59,6.58,4.37,1.99,0.83,0.14,0.12,0.49,0.01,0.01,0.55,4.61,2.34
PRECTOTCORR,2010,-10.5,35.625,11.11,7.98,3.29,2.44,0.97,0.13,0.28,1.06,0.01,0.02,0.18,4.28,2.62
PRECTOTCORR,2010,-11.0,33.125,7.58,8.44,5.26,1.48,0.5,0.25,0.04,0.07,0.0,0.0,1.59,6.74,2.64
PRECTOTCORR,2010,-11.0,33.75,8.53,8.92,6.71,2.74,1.08,0.69,0.1,0.27,0.0,0.0,2.05,7.46,3.19
PRECTOTCORR,2010,-11.0,34.375,7.75,7.45,6.14,2.16,0.81,0.46,0.06,0.14,0.0,0.0,1.56,6.58,2.74
PRECTOTCORR,2010,-11.0,35.0,8.28,7.5,4.57,2.35,0.86,0.2,0.13,0.62,0.01,0.02,0.52,5.37,2.51
PRECTOTCORR,2010,-11.0,35.625,9.86,8.46,3.95,3.24,1.21,0.2,0.25,1.14,0.01,0.04,0.12,5.02,2.77
PRECTOTCORR,2010,-11.5,33.125,7.51,9.09,5.27,1.49,0.43,0.22,0.04,0.06,0.0,0.0,1.8,6.66,2.68
PRECTOTCORR,2010,-11.5,33.75,8.03,10.19,6.49,2.6,0.94,0.62,0.1,0.17,0.0,0.0,2.39,8.52,3.3
PRECTOTCORR,2010,-11.5,34.375,8.34,9.0,6.65,2.47,0.86,0.49,0.06,0.13,0.0,0.0,1.79,8.19,3.14
PRECTOTCORR,2010,-11.5,35.0,8.89,8.61,5.07,2.63,0.84,0.16,0.08,0.41,0.0,0.03,0.47,6.75,2.8
PRECTOTCORR,2010,-11.5,35.625,9.91,9.31,4.2,3.46,1.11,0.13,0.14,0.71,0.01,0.06,0.13,6.44,2.94
PRECTOTCORR,2010,-12.0,33.125,8.18,10.3,5.49,1.72,0.52,0.32,0.1,0.13,0.0,0.0,2.62,7.81,3.06
PRECTOTCORR,2010,-12.0,33.75,8.84,10.96,6.43,2.42,0.83,0.48,0.12,0.18,0.0,0.0,3.12,9.58,3.54
PRECTOTCORR,2010,-12.0,34.375,8.74,9.73,6.19,2.37,0.73,0.34,0.06,0.1,0.0,0.0,2.2,8.75,3.24
PRECTOTCORR,2010,-12.0,35.0,9.9,9.02,4.4,2.29,0.59,0.07,0.03,0.28,0.0,0.04,0.59,7.18,2.84
PRECTOTCORR,2010,-12.0,35.625,11.66,10.57,4.39,3.12,0.97,0.1,0.12,0.81,0.0,0.07,0.32,8.77,3.38
PRECTOTCORR,2010,-12.5,33.125,8.13,8.12,4.76,1.37,0.38,0.21,0.07,0.14,0.01,0.0,3.55,8.09,2.88
PRECTOTCORR,2010,-12.5,33.75,9.24,9.46,5.69,1.82,0.62,0.33,0.1,0.2,0.01,0.0,4.19,9.94,3.44
PRECTOTCORR,2010,-12.5,34.375,8.55,8.32,4.47,1.23,0.38,0.14,0.02,0.08,0.0,0.0,2.64,8.35,2.82
PRECTOTCORR,2010,-12.5,35.0,9.11,7.91,4.02,1.61,0.54,0.12,0.1,1.16,0.0,0.03,1.35,7.9,2.8
PRECTOTCORR,2010,-12.5,35.625,11.95,9.8,5.1,2.73,1.17,0.24,0.29,2.41,0.0,0.08,1.31,10.48,3.78
PRECTOTCORR,2010,-13.0,33.125,7.88,6.63,3.96,0.82,0.2,0.09,0.04,0.11,0.01,0.0,4.39,8.66,2.72
PRECTOTCORR,2010,-13.0,33.75,8.96,8.29,4.61,0.92,0.29,0.12,0.04,0.16,0.01,0.0,5.17,10.7,3.25
PRECTOTCORR,2010,-13.0,34.375,8.16,7.78,4.07,0.75,0.22,0.08,0.02,0.1,0.01,0.0,3.26,9.24,2.79
PRECTOTCORR,2010,-13.0,35.0,8.05,6.81,4.25,1.37,0.49,0.23,0.29,2.99,0.0,0.03,1.79,8.58,2.9
PRECTOTCORR,2010,-13.0,35.625,10.11,7.64,6.01,2.64,1.23,0.46,0.59,5.55,0.0,0.06,2.24,10.5,3.92
PRECTOTCORR,2010,-13.5,33.125,7.42,7.08,3.83,0.66,0.12,0.04,0.04,0.11,0.01,0.0,4.81,9.54,2.79
PRECTOTCORR,2010,-13.5,33.75,8.7,8.94,4.67,0.86,0.22,0.1,0.07,0.17,0.02,0.0,5.91,11.21,3.38
PRECTOTCORR,2010,-13.5,34.375,8.37,8.96,4.2,0.68,0.17,0.07,0.04,0.13,0.01,0.0,4.01,10.37,3.06
PRECTOTCORR,2010,-13.5,35.0,7.81,7.49,4.33,1.39,0.35,0.26,0.37,3.89,0.0,0.03,1.87,9.24,3.07
