-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2024 through 12/30/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M
-17.0,32.5,2024,1,1,25.38
-17.0,33.125,2024,1,1,27.3
-17.0,33.75,2024,1,1,27.44
-17.0,34.375,2024,1,1,28.45
-17.0,35.0,2024,1,1,28.33
-17.0,35.625,2024,1,1,27.32
-17.0,36.25,2024,1,1,27.17
-17.0,36.875,2024,1,1,27.66
-16.5,32.5,2024,1,1,26.51
-16.5,33.125,2024,1,1,27.99
-16.5,33.75,2024,1,1,28.59
-16.5,34.375,2024,1,1,29.05
-16.5,35.0,2024,1,1,28.56
-16.5,35.625,2024,1,1,26.54
-16.5,36.25,2024,1,1,26.63
-16.5,36.875,2024,1,1,26.58
-16.0,32.5,2024,1,1,27.03
-16.0,33.125,2024,1,1,27.48
-16.0,33.75,2024,1,1,27.81
-16.0,34.375,2024,1,1,27.7
-16.0,35.0,2024,1,1,26.15
-16.0,35.625,2024,1,1,23.68
-16.0,36.25,2024,1,1,25.24
-16.0,36.875,2024,1,1,25.29
-15.5,32.5,2024,1,1,27.46
-15.5,33.125,2024,1,1,26.85
-15.5,33.75,2024,1,1,26.07
-15.5,34.375,2024,1,1,24.02
-15.5,35.0,2024,1,1,25.19
-15.5,35.625,2024,1,1,25.67
-15.5,36.25,2024,1,1,24.41
-15.5,36.875,2024,1,1,24.1
-15.0,32.5,2024,1,1,26.45
-15.0,33.125,2024,1,1,26.25
-15.0,33.75,2024,1,1,23.73
-15.0,34.375,2024,1,1,22.13
-15.0,35.0,2024,1,1,24.72
-15.0,35.625,2024,1,1,25.74
-15.0,36.25,2024,1,1,24.83
-15.0,36.875,2024,1,1,24.09
-14.5,32.5,2024,1,1,25.01
-14.5,33.125,2024,1,1,24.56
-14.5,33.75,2024,1,1,22.3
-14.5,34.375,2024,1,1,22.01
-14.5,35.0,2024,1,1,26.07
-14.5,35.625,2024,1,1,24.13
-14.5,36.25,2024,1,1,25.01
-14.5,36.875,2024,1,1,25.59
-14.0,32.5,2024,1,1,23.5
-14.0,33.125,2024,1,1,23.27
-14.0,33.75,2024,1,1,22.68
-14.0,34.375,2024,1,1,24.77
-14.0,35.0,2024,1,1,26.89
-14.0,35.625,2024,1,1,23.86
-14.0,36.25,2024,1,1,25.13
-14.0,36.875,2024,1,1,25.04
-13.5,32.5,2024,1,1,23.89
-13.5,33.125,2024,1,1,23.25
-13.5,33.75,2024,1,1,23.04
-13.5,34.375,2024,1,1,28.45
-13.5,35.0,2024,1,1,25.78
-13.5,35.625,2024,1,1,23.71
-13.5,36.25,2024,1,1,25.58
-13.5,36.875,2024,1,1,24.39
-13.0,32.5,2024,1,1,24.58
-13.0,33.125,2024,1,1,23.05
-13.0,33.75,2024,1,1,23.75
-13.0,34.375,2024,1,1,29.35
-13.0,35.0,2024,1,1,24.85
-13.0,35.625,2024,1,1,22.88
-13.0,36.25,2024,1,1,25.04
-13.0,36.875,2024,1,1,26.58
-12.5,32.5,2024,1,1,24.94
-12.5,33.125,2024,1,1,22.3
-12.5,33.75,2024,1,1,23.21
-12.5,34.375,2024,1,1,29.46
-12.5,35.0,2024,1,1,26.0
-12.5,35.625,2024,1,1,23.38
-12.5,36.25,2024,1,1,25.3
-12.5,36.875,2024,1,1,26.9
-12.0,32.5,2024,1,1,25.64
-12.0,33.125,2024,1,1,22.32
-12.0,33.75,2024,1,1,22.02
-12.0,34.375,2024,1,1,28.59
-12.0,35.0,2024,1,1,27.31
-12.0,35.625,2024,1,1,25.46
-12.0,36.25,2024,1,1,26.27
-12.0,36.875,2024,1,1,26.9
-11.5,32.5,2024,1,1,25.41
-11.5,33.125,2024,1,1,23.54
-11.5,33.75,2024,1,1,21.79
-11.5,34.375,2024,1,1,28.81
-11.5,35.0,2024,1,1,26.14
-11.5,35.625,2024,1,1,26.16
-11.5,36.25,2024,1,1,26.51
-11.5,36.875,2024,1,1,27.09
-11.0,32.5,2024,1,1,24.42
-11.0,33.125,2024,1,1,24.46
-11.0,33.75,2024,1,1,21.84
-11.0,34.375,2024,1,1,29.18
-11.0,35.0,2024,1,1,24.08
-11.0,35.625,2024,1,1,24.32
-11.0,36.25,2024,1,1,25.38
-11.0,36.875,2024,1,1,26.2
