-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2013 through 12/30/2013 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M
-17.0,32.5,2013,1,1,26.37
-17.0,33.125,2013,1,1,27.84
-17.0,33.75,2013,1,1,28.28
-17.0,34.375,2013,1,1,29.27
-17.0,35.0,2013,1,1,28.7
-17.0,35.625,2013,1,1,27.69
-17.0,36.25,2013,1,1,27.22
-17.0,36.875,2013,1,1,28.18
-16.5,32.5,2013,1,1,27.5
-16.5,33.125,2013,1,1,28.79
-16.5,33.75,2013,1,1,29.07
-16.5,34.375,2013,1,1,28.75
-16.5,35.0,2013,1,1,28.85
-16.5,35.625,2013,1,1,26.8
-16.5,36.25,2013,1,1,26.83
-16.5,36.875,2013,1,1,27.3
-16.0,32.5,2013,1,1,27.97
-16.0,33.125,2013,1,1,28.53
-16.0,33.75,2013,1,1,28.94
-16.0,34.375,2013,1,1,28.71
-16.0,35.0,2013,1,1,26.48
-16.0,35.625,2013,1,1,23.99
-16.0,36.25,2013,1,1,25.62
-16.0,36.875,2013,1,1,26.1
-15.5,32.5,2013,1,1,28.13
-15.5,33.125,2013,1,1,28.11
-15.5,33.75,2013,1,1,27.27
-15.5,34.375,2013,1,1,24.73
-15.5,35.0,2013,1,1,25.77
-15.5,35.625,2013,1,1,26.25
-15.5,36.25,2013,1,1,25.25
-15.5,36.875,2013,1,1,24.92
-15.0,32.5,2013,1,1,26.6
-15.0,33.125,2013,1,1,26.8
-15.0,33.75,2013,1,1,24.31
-15.0,34.375,2013,1,1,22.59
-15.0,35.0,2013,1,1,25.47
-15.0,35.625,2013,1,1,26.57
-15.0,36.25,2013,1,1,25.76
-15.0,36.875,2013,1,1,24.57
-14.5,32.5,2013,1,1,25.6
-14.5,33.125,2013,1,1,24.96
-14.5,33.75,2013,1,1,22.48
-14.5,34.375,2013,1,1,21.8
-14.5,35.0,2013,1,1,26.78
-14.5,35.625,2013,1,1,24.99
-14.5,36.25,2013,1,1,25.91
-14.5,36.875,2013,1,1,26.0
-14.0,32.5,2013,1,1,23.46
-14.0,33.125,2013,1,1,22.98
-14.0,33.75,2013,1,1,22.39
-14.0,34.375,2013,1,1,24.95
-14.0,35.0,2013,1,1,27.5
-14.0,35.625,2013,1,1,24.69
-14.0,36.25,2013,1,1,25.67
-14.0,36.875,2013,1,1,25.58
-13.5,32.5,2013,1,1,23.46
-13.5,33.125,2013,1,1,22.75
-13.5,33.75,2013,1,1,22.55
-13.5,34.375,2013,1,1,28.82
-13.5,35.0,2013,1,1,26.35
-13.5,35.625,2013,1,1,23.77
-13.5,36.25,2013,1,1,25.66
-13.5,36.875,2013,1,1,24.79
-13.0,32.5,2013,1,1,24.47
-13.0,33.125,2013,1,1,22.66
-13.0,33.75,2013,1,1,23.44
-13.0,34.375,2013,1,1,29.08
-13.0,35.0,2013,1,1,24.93
-13.0,35.625,2013,1,1,22.64
-13.0,36.25,2013,1,1,24.86
-13.0,36.875,2013,1,1,26.23
-12.5,32.5,2013,1,1,25.69
-12.5,33.125,2013,1,1,22.74
-12.5,33.75,2013,1,1,23.44
-12.5,34.375,2013,1,1,29.11
-12.5,35.0,2013,1,1,25.51
-12.5,35.625,2013,1,1,23.59
-12.5,36.25,2013,1,1,24.74
-12.5,36.875,2013,1,1,26.03
-12.0,32.5,2013,1,1,26.05
-12.0,33.125,2013,1,1,23.66
-12.0,33.75,2013,1,1,22.41
-12.0,34.375,2013,1,1,29.16
-12.0,35.0,2013,1,1,27.0
-12.0,35.625,2013,1,1,25.04
-12.0,36.25,2013,1,1,25.49
-12.0,36.875,2013,1,1,26.04
-11.5,32.5,2013,1,1,26.04
-11.5,33.125,2013,1,1,24.9
-11.5,33.75,2013,1,1,22.06
-11.5,34.375,2013,1,1,29.02
-11.5,35.0,2013,1,1,25.95
-11.5,35.625,2013,1,1,25.59
-11.5,36.25,2013,1,1,25.67
-11.5,36.875,2013,1,1,26.0
-11.0,32.5,2013,1,1,24.65
-11.0,33.125,2013,1,1,25.23
-11.0,33.75,2013,1,1,21.91
-11.0,34.375,2013,1,1,28.79
-11.0,35.0,2013,1,1,24.2
-11.0,35.625,2013,1,1,24.18
-11.0,36.25,2013,1,1,24.77
-11.0,36.875,2013,1,1,24.58
-10.5,32.5,2013,1,1,23.55
-10.5,33.125,2013,1,1,24.15
-10.5,33.75,2013,1,1,21.08
-10.5,34.375,2013,1,1,29.1
-10.5,35.0,2013,1,1,24.71
-10.5,35.625,2013,1,1,23.41
-10.5,36.25,2013,1,1,23.86
-10.5,36.875,2013,1,1,24.24
-10.0,32.5,2013,1,1,22.55
-10.0,33.125,2013,1,1,23.55
-10.0,33.75,2013,1,1,25.34
-10.0,34.375,2013,1,1,27.97
-10.0,35.0,2013,1,1,22.11
-10.0,35.625,2013,1,1,23.55
-10.0,36.25,2013,1,1,23.99
-10.0,36.875,2013,1,1,24.73
-9.5,32.5,2013,1,1,22.05
-9.5,33.125,2013,1,1,21.71
-9.5,33.75,2013,1,1,23.37
-9.5,34.375,2013,1,1,19.37
-9.5,35.0,2013,1,1,19.33
-9.5,35.625,2013,1,1,23.78
-9.5,36.25,2013,1,1,24.18
-9.5,36.875,2013,1,1,25.36
-9.0,32.5,2013,1,1,21.96
-9.0,33.125,2013,1,1,20.51
-9.0,33.75,2013,1,1,18.28
-9.0,34.375,2013,1,1,19.46
-9.0,35.0,2013,1,1,19.86
-9.0,35.625,2013,1,1,23.64
-9.0,36.25,2013,1,1,25.46
-9.0,36.875,2013,1,1,24.81
-17.0,32.5,2013,1,2,23.9
-17.0,33.125,2013,1,2,25.39
-17.0,33.75,2013,1,2,25.68
-17.0,34.375,2013,1,2,27.41
-17.0,35.0,2013,1,2,27.31
-17.0,35.625,2013,1,2,26.54
-17.0,36.25,2013,1,2,26.36
-17.0,36.875,2013,1,2,27.21
-16.5,32.5,2013,1,2,24.75
-16.5,33.125,2013,1,2,26.02
-16.5,33.75,2013,1,2,26.5
-16.5,34.375,2013,1,2,27.02
-16.5,35.0,2013,1,2,27.61
-16.5,35.625,2013,1,2,25.75
-16.5,36.25,2013,1,2,25.85
-16.5,36.875,2013,1,2,26.46
-16.0,32.5,2013,1,2,25.13
-16.0,33.125,2013,1,2,25.91
-16.0,33.75,2013,1,2,26.65
-16.0,34.375,2013,1,2,27.13
-16.0,35.0,2013,1,2,25.82
-16.0,35.625,2013,1,2,23.5
-16.0,36.25,2013,1,2,24.87
-16.0,36.875,2013,1,2,25.32
-15.5,32.5,2013,1,2,25.92
-15.5,33.125,2013,1,2,26.04
-15.5,33.75,2013,1,2,25.85
-15.5,34.375,2013,1,2,23.88
-15.5,35.0,2013,1,2,25.37
-15.5,35.625,2013,1,2,25.48
-15.5,36.25,2013,1,2,24.7
-15.5,36.875,2013,1,2,24.5
-15.0,32.5,2013,1,2,25.58
-15.0,33.125,2013,1,2,25.87
-15.0,33.75,2013,1,2,23.61
-15.0,34.375,2013,1,2,22.41
-15.0,35.0,2013,1,2,25.37
-15.0,35.625,2013,1,2,26.1
-15.0,36.25,2013,1,2,25.48
-15.0,36.875,2013,1,2,24.36
-14.5,32.5,2013,1,2,24.79
-14.5,33.125,2013,1,2,24.41
-14.5,33.75,2013,1,2,22.41
-14.5,34.375,2013,1,2,22.38
-14.5,35.0,2013,1,2,26.85
-14.5,35.625,2013,1,2,25.04
-14.5,36.25,2013,1,2,25.69
-14.5,36.875,2013,1,2,25.48
-14.0,32.5,2013,1,2,23.64
-14.0,33.125,2013,1,2,23.4
-14.0,33.75,2013,1,2,22.85
-14.0,34.375,2013,1,2,25.05
-14.0,35.0,2013,1,2,27.81
-14.0,35.625,2013,1,2,24.92
-14.0,36.25,2013,1,2,25.53
-14.0,36.875,2013,1,2,24.35
-13.5,32.5,2013,1,2,24.29
-13.5,33.125,2013,1,2,23.71
-13.5,33.75,2013,1,2,23.4
-13.5,34.375,2013,1,2,28.81
-13.5,35.0,2013,1,2,26.43
-13.5,35.625,2013,1,2,24.02
-13.5,36.25,2013,1,2,25.47
-13.5,36.875,2013,1,2,23.93
-13.0,32.5,2013,1,2,25.51
-13.0,33.125,2013,1,2,23.83
-13.0,33.75,2013,1,2,24.14
-13.0,34.375,2013,1,2,29.27
-13.0,35.0,2013,1,2,25.04
-13.0,35.625,2013,1,2,22.8
-13.0,36.25,2013,1,2,24.55
-13.0,36.875,2013,1,2,25.39
-12.5,32.5,2013,1,2,26.64
-12.5,33.125,2013,1,2,23.42
-12.5,33.75,2013,1,2,24.27
-12.5,34.375,2013,1,2,29.38
-12.5,35.0,2013,1,2,25.66
-12.5,35.625,2013,1,2,23.21
-12.5,36.25,2013,1,2,24.53
-12.5,36.875,2013,1,2,25.35
-12.0,32.5,2013,1,2,26.59
-12.0,33.125,2013,1,2,23.69
-12.0,33.75,2013,1,2,23.08
-12.0,34.375,2013,1,2,29.77
-12.0,35.0,2013,1,2,27.07
-12.0,35.625,2013,1,2,24.99
-12.0,36.25,2013,1,2,25.33
-12.0,36.875,2013,1,2,25.4
-11.5,32.5,2013,1,2,26.46
-11.5,33.125,2013,1,2,24.95
-11.5,33.75,2013,1,2,22.72
-11.5,34.375,2013,1,2,29.58
-11.5,35.0,2013,1,2,26.41
-11.5,35.625,2013,1,2,25.85
-11.5,36.25,2013,1,2,25.59
-11.5,36.875,2013,1,2,25.61
-11.0,32.5,2013,1,2,25.18
-11.0,33.125,2013,1,2,25.52
-11.0,33.75,2013,1,2,22.49
-11.0,34.375,2013,1,2,29.56
-11.0,35.0,2013,1,2,24.53
-11.0,35.625,2013,1,2,24.34
-11.0,36.25,2013,1,2,24.68
-11.0,36.875,2013,1,2,24.07
-10.5,32.5,2013,1,2,23.88
-10.5,33.125,2013,1,2,24.5
-10.5,33.75,2013,1,2,21.55
-10.5,34.375,2013,1,2,30.26
-10.5,35.0,2013,1,2,24.98
-10.5,35.625,2013,1,2,23.42
