-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2010 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2010,-10.0,33.125,22.15,22.38,21.88,21.4,19.87,17.59,17.48,18.57,22.37,25.63,26.43,22.61,21.52
T2M,2010,-10.0,33.75,23.68,23.83,23.42,23.11,21.59,19.23,19.06,19.71,23.32,26.26,27.5,24.71,22.94
T2M,2010,-10.0,34.375,26.05,26.05,25.81,25.72,24.27,21.75,21.6,22.02,25.37,27.92,29.0,27.21,25.22
T2M,2010,-10.0,35.0,21.18,21.24,21.02,20.38,19.56,17.63,17.49,18.4,21.62,24.11,24.89,22.37,20.82
T2M,2010,-10.0,35.625,22.74,22.69,22.78,22.13,21.54,19.85,19.71,20.5,23.73,26.09,27.06,24.1,22.74
T2M,2010,-10.5,33.125,22.67,22.94,22.8,22.64,21.48,19.39,19.34,20.26,23.88,27.11,27.63,23.21,22.77
T2M,2010,-10.5,33.75,19.98,20.23,19.91,19.48,17.72,15.22,14.89,15.48,18.79,21.85,23.04,20.48,18.91
T2M,2010,-10.5,34.375,28.12,27.52,27.28,27.08,25.96,23.54,23.52,24.05,27.41,30.19,31.1,28.7,27.03
T2M,2010,-10.5,35.0,23.2,23.04,22.86,22.51,21.89,19.92,19.64,20.35,23.99,26.72,27.67,24.73,23.04
T2M,2010,-10.5,35.625,22.25,22.0,21.99,21.44,20.15,18.1,17.75,18.65,22.7,25.37,26.55,23.69,21.71
T2M,2010,-11.0,33.125,23.44,23.51,23.47,23.18,22.24,20.03,19.97,20.88,24.39,27.78,28.42,23.95,23.43
T2M,2010,-11.0,33.75,20.77,20.91,20.58,20.13,18.17,15.58,15.37,16.1,19.58,23.1,24.22,21.08,19.62
T2M,2010,-11.0,34.375,27.5,27.17,27.03,26.98,25.45,22.95,22.84,23.36,26.71,29.53,30.35,28.08,26.49
T2M,2010,-11.0,35.0,22.92,22.63,22.53,22.01,20.65,18.41,18.29,18.9,22.59,25.7,26.89,23.89,22.11
T2M,2010,-11.0,35.625,23.11,22.76,22.69,22.11,20.37,18.11,18.07,18.78,22.77,26.11,27.64,24.33,22.23
T2M,2010,-11.5,33.125,22.9,22.88,22.9,22.59,21.58,19.39,19.3,20.09,23.39,26.74,27.36,23.28,22.69
T2M,2010,-11.5,33.75,20.9,20.94,20.63,20.26,18.27,15.59,15.43,15.99,19.34,22.75,23.99,20.94,19.57
T2M,2010,-11.5,34.375,27.44,27.12,26.8,26.99,25.61,23.14,23.06,23.36,26.65,29.6,30.38,27.78,26.49
T2M,2010,-11.5,35.0,24.71,24.4,24.25,23.74,22.2,19.74,19.58,20.02,23.37,26.69,28.08,25.13,23.48
T2M,2010,-11.5,35.625,24.39,23.88,23.87,23.1,21.3,19.17,19.17,19.78,23.95,27.56,29.33,25.01,23.37
T2M,2010,-12.0,33.125,22.01,22.01,22.0,21.52,19.78,17.6,17.73,18.74,21.92,25.21,25.89,22.1,21.37
T2M,2010,-12.0,33.75,21.35,21.19,20.92,20.75,18.7,15.92,15.8,16.28,19.4,22.7,23.86,21.08,19.82
T2M,2010,-12.0,34.375,27.82,27.24,27.15,27.36,26.03,23.26,23.09,23.2,26.24,28.87,29.77,27.78,26.48
T2M,2010,-12.0,35.0,25.43,24.96,24.94,24.52,23.33,20.99,20.99,21.29,24.71,27.89,29.22,25.68,24.49
T2M,2010,-12.0,35.625,23.58,23.09,23.18,22.43,20.54,18.22,18.28,18.79,22.62,26.41,28.01,23.71,22.39
T2M,2010,-12.5,33.125,21.97,21.64,21.53,21.16,19.37,17.21,17.08,18.3,21.67,24.99,25.44,21.51,20.98
T2M,2010,-12.5,33.75,22.42,21.97,21.77,21.6,19.49,16.91,16.91,17.61,20.96,24.42,25.19,21.82,20.91
T2M,2010,-12.5,34.375,27.88,27.08,27.4,27.71,26.43,23.44,23.25,23.5,26.51,29.02,29.71,27.72,26.63
T2M,2010,-12.5,35.0,24.38,23.92,24.18,23.96,22.8,20.33,20.3,20.28,23.86,27.08,27.9,24.42,23.61
T2M,2010,-12.5,35.625,22.2,21.74,21.88,21.13,19.09,16.46,16.57,16.68,20.18,23.91,25.25,21.83,20.57
T2M,2010,-13.0,33.125,22.67,21.83,21.64,21.5,20.0,17.6,17.43,18.49,22.03,25.5,25.76,21.59,21.33
T2M,2010,-13.0,33.75,22.69,21.95,21.93,21.71,19.69,17.41,17.44,18.07,21.81,25.3,25.81,21.97,21.31
T2M,2010,-13.0,34.375,27.64,26.55,27.07,27.77,26.23,23.24,23.02,23.24,26.84,30.06,30.47,27.4,26.62
T2M,2010,-13.0,35.0,23.98,23.45,23.61,23.77,21.97,19.27,19.21,18.76,22.65,26.28,26.93,23.85,22.8
T2M,2010,-13.0,35.625,21.79,21.32,21.3,20.49,18.32,15.83,15.98,15.67,18.86,22.47,23.91,21.23,19.75
T2M,2010,-13.5,33.125,22.92,21.82,21.65,21.67,20.1,17.53,17.46,18.51,22.22,25.89,25.9,21.66,21.44
T2M,2010,-13.5,33.75,22.28,21.31,21.24,21.01,18.94,16.61,16.66,17.32,21.13,24.84,25.18,21.36,20.65
T2M,2010,-13.5,34.375,27.15,25.83,26.3,27.14,25.3,22.56,22.43,22.51,26.41,30.25,30.61,26.72,26.1
T2M,2010,-13.5,35.0,25.23,24.31,24.37,24.67,22.77,20.09,20.08,19.54,23.65,27.68,28.33,24.9,23.79
T2M,2010,-13.5,35.625,22.84,22.18,21.98,21.24,19.34,17.13,17.28,16.67,20.24,24.46,25.48,22.2,20.91
T2M,2010,-14.0,33.125,23.37,22.15,21.88,22.45,20.43,17.68,17.63,18.67,22.66,26.66,26.46,21.92,21.82
T2M,2010,-14.0,33.75,22.37,21.15,21.01,20.91,19.11,16.42,16.3,17.13,21.01,24.88,25.01,21.04,20.52
T2M,2010,-14.0,34.375,24.08,22.71,22.75,22.88,21.01,18.46,18.42,18.72,22.59,26.68,27.23,23.17,22.38
T2M,2010,-14.0,35.0,26.5,25.11,25.1,25.17,23.43,20.7,20.65,20.32,24.1,28.33,29.13,25.73,24.51
T2M,2010,-14.0,35.625,23.46,22.47,22.27,21.7,20.17,18.03,18.31,17.45,21.2,26.0,26.71,22.69,21.7
T2M,2010,-14.5,33.125,25.39,23.32,23.33,24.42,21.76,18.53,18.38,19.48,24.1,28.58,28.44,23.08,23.23
T2M,2010,-14.5,33.75,22.47,21.15,20.94,21.07,18.87,15.9,15.74,16.67,20.89,25.11,25.11,20.98,20.4
T2M,2010,-14.5,34.375,21.63,20.56,20.29,19.9,17.74,15.05,14.96,15.28,18.75,23.14,23.84,20.44,19.29
T2M,2010,-14.5,35.0,26.15,24.24,24.05,24.43,22.79,20.21,20.18,19.79,23.97,28.75,29.39,24.7,24.05
T2M,2010,-14.5,35.625,24.21,22.73,22.66,22.64,21.31,19.0,19.0,17.9,21.8,27.15,27.67,23.02,22.42
T2M,2010,-15.0,33.125,27.85,24.71,24.7,25.87,23.08,19.77,19.56,20.62,25.49,30.34,30.49,24.38,24.73
T2M,2010,-15.0,33.75,24.58,22.52,22.02,22.41,19.71,16.59,16.32,17.18,22.24,27.15,27.15,22.45,21.68
T2M,2010,-15.0,34.375,22.51,21.12,20.55,20.31,17.84,15.01,14.77,15.46,19.56,24.29,24.66,20.95,19.74
T2M,2010,-15.0,35.0,25.46,23.43,23.0,23.17,21.27,18.5,18.17,18.61,22.89,27.61,28.07,23.39,22.79
T2M,2010,-15.0,35.625,25.92,24.1,24.08,24.3,22.52,19.85,19.51,19.15,23.21,28.0,28.59,24.19,23.61
T2M,2010,-15.5,33.125,29.25,25.54,25.29,26.34,23.57,20.34,20.08,21.06,25.62,30.42,30.98,24.83,25.27
T2M,2010,-15.5,33.75,28.21,24.97,24.33,25.13,22.36,19.31,18.92,19.86,24.84,29.75,30.07,24.51,24.34
T2M,2010,-15.5,34.375,25.44,23.08,22.25,22.46,19.87,16.9,16.55,17.12,21.8,26.8,27.23,22.76,21.84
T2M,2010,-15.5,35.0,26.82,24.21,23.54,23.84,21.51,18.56,18.17,18.88,23.3,28.24,28.59,23.89,23.29
T2M,2010,-15.5,35.625,26.23,24.12,23.78,24.0,21.95,18.92,18.35,18.73,22.64,27.47,28.01,23.99,23.17
T2M,2010,-16.0,33.125,30.18,26.27,25.84,26.88,24.11,20.98,20.76,21.68,26.02,30.56,31.18,25.26,25.8
T2M,2010,-16.0,33.75,30.24,26.53,25.7,26.85,24.18,21.19,20.83,21.68,26.22,30.88,31.34,25.52,25.92
T2M,2010,-16.0,34.375,29.56,26.26,24.93,25.88,23.62,20.68,20.19,20.83,25.49,30.49,30.89,25.48,25.35
