-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/30/2015 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M
-17.0,32.5,2015,1,1,22.23
-17.0,33.125,2015,1,1,23.69
-17.0,33.75,2015,1,1,23.97
-17.0,34.375,2015,1,1,25.54
-17.0,35.0,2015,1,1,26.24
-17.0,35.625,2015,1,1,26.1
-17.0,36.25,2015,1,1,26.09
-17.0,36.875,2015,1,1,26.6
-16.5,32.5,2015,1,1,23.18
-16.5,33.125,2015,1,1,24.21
-16.5,33.75,2015,1,1,24.78
-16.5,34.375,2015,1,1,25.12
-16.5,35.0,2015,1,1,25.96
-16.5,35.625,2015,1,1,25.06
-16.5,36.25,2015,1,1,25.08
-16.5,36.875,2015,1,1,25.42
-16.0,32.5,2015,1,1,24.19
-16.0,33.125,2015,1,1,24.7
-16.0,33.75,2015,1,1,24.71
-16.0,34.375,2015,1,1,24.17
-16.0,35.0,2015,1,1,23.63
-16.0,35.625,2015,1,1,21.95
-16.0,36.25,2015,1,1,23.27
-16.0,36.875,2015,1,1,23.61
-15.5,32.5,2015,1,1,24.96
-15.5,33.125,2015,1,1,24.79
-15.5,33.75,2015,1,1,24.16
-15.5,34.375,2015,1,1,22.22
-15.5,35.0,2015,1,1,23.27
-15.5,35.625,2015,1,1,23.48
-15.5,36.25,2015,1,1,22.91
-15.5,36.875,2015,1,1,22.24
-15.0,32.5,2015,1,1,24.71
-15.0,33.125,2015,1,1,24.87
-15.0,33.75,2015,1,1,22.53
-15.0,34.375,2015,1,1,20.91
-15.0,35.0,2015,1,1,23.16
-15.0,35.625,2015,1,1,23.92
-15.0,36.25,2015,1,1,23.58
-15.0,36.875,2015,1,1,22.56
-14.5,32.5,2015,1,1,23.51
-14.5,33.125,2015,1,1,23.25
-14.5,33.75,2015,1,1,20.83
-14.5,34.375,2015,1,1,20.2
-14.5,35.0,2015,1,1,24.36
-14.5,35.625,2015,1,1,22.69
-14.5,36.25,2015,1,1,23.76
-14.5,36.875,2015,1,1,24.09
-14.0,32.5,2015,1,1,22.25
-14.0,33.125,2015,1,1,21.95
-14.0,33.75,2015,1,1,20.97
-14.0,34.375,2015,1,1,23.08
-14.0,35.0,2015,1,1,25.36
-14.0,35.625,2015,1,1,22.46
-14.0,36.25,2015,1,1,23.65
-14.0,36.875,2015,1,1,23.51
-13.5,32.5,2015,1,1,22.69
-13.5,33.125,2015,1,1,21.91
-13.5,33.75,2015,1,1,21.35
-13.5,34.375,2015,1,1,26.64
-13.5,35.0,2015,1,1,24.33
-13.5,35.625,2015,1,1,21.99
-13.5,36.25,2015,1,1,23.63
-13.5,36.875,2015,1,1,22.66
-13.0,32.5,2015,1,1,23.61
-13.0,33.125,2015,1,1,21.81
-13.0,33.75,2015,1,1,22.23
-13.0,34.375,2015,1,1,27.55
-13.0,35.0,2015,1,1,23.48
-13.0,35.625,2015,1,1,21.18
-13.0,36.25,2015,1,1,22.72
