-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2010 through 12/30/2010 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M
-17.0,32.5,2010,1,1,28.5
-17.0,33.125,2010,1,1,30.36
-17.0,33.75,2010,1,1,30.17
-17.0,34.375,2010,1,1,31.15
-17.0,35.0,2010,1,1,31.19
-17.0,35.625,2010,1,1,29.6
-17.0,36.25,2010,1,1,28.71
-17.0,36.875,2010,1,1,29.43
-16.5,32.5,2010,1,1,29.03
-16.5,33.125,2010,1,1,31.1
-16.5,33.75,2010,1,1,31.26
-16.5,34.375,2010,1,1,30.81
-16.5,35.0,2010,1,1,30.89
-16.5,35.625,2010,1,1,27.95
-16.5,36.25,2010,1,1,28.19
-16.5,36.875,2010,1,1,28.72
-16.0,32.5,2010,1,1,29.44
-16.0,33.125,2010,1,1,30.2
-16.0,33.75,2010,1,1,30.79
-16.0,34.375,2010,1,1,30.15
-16.0,35.0,2010,1,1,28.29
-16.0,35.625,2010,1,1,24.79
-16.0,36.25,2010,1,1,26.99
-16.0,36.875,2010,1,1,26.98
-15.5,32.5,2010,1,1,29.2
-15.5,33.125,2010,1,1,29.34
-15.5,33.75,2010,1,1,28.83
-15.5,34.375,2010,1,1,26.08
-15.5,35.0,2010,1,1,27.94
-15.5,35.625,2010,1,1,27.04
-15.5,36.25,2010,1,1,26.22
-15.5,36.875,2010,1,1,25.12
-15.0,32.5,2010,1,1,27.69
-15.0,33.125,2010,1,1,28.08
-15.0,33.75,2010,1,1,25.36
-15.0,34.375,2010,1,1,23.31
-15.0,35.0,2010,1,1,26.71
-15.0,35.625,2010,1,1,27.08
-15.0,36.25,2010,1,1,26.84
-15.0,36.875,2010,1,1,24.81
-14.5,32.5,2010,1,1,25.71
-14.5,33.125,2010,1,1,26.06
-14.5,33.75,2010,1,1,23.57
-14.5,34.375,2010,1,1,23.06
-14.5,35.0,2010,1,1,27.75
-14.5,35.625,2010,1,1,25.5
-14.5,36.25,2010,1,1,25.94
-14.5,36.875,2010,1,1,25.54
-14.0,32.5,2010,1,1,23.33
-14.0,33.125,2010,1,1,23.69
-14.0,33.75,2010,1,1,23.01
-14.0,34.375,2010,1,1,25.45
-14.0,35.0,2010,1,1,27.72
-14.0,35.625,2010,1,1,24.06
-14.0,36.25,2010,1,1,24.67
-14.0,36.875,2010,1,1,24.02
-13.5,32.5,2010,1,1,22.35
-13.5,33.125,2010,1,1,22.17
-13.5,33.75,2010,1,1,22.1
-13.5,34.375,2010,1,1,27.88
-13.5,35.0,2010,1,1,26.25
-13.5,35.625,2010,1,1,23.13
-13.5,36.25,2010,1,1,24.51
-13.5,36.875,2010,1,1,23.35
-13.0,32.5,2010,1,1,22.75
-13.0,33.125,2010,1,1,22.56
-13.0,33.75,2010,1,1,22.22
-13.0,34.375,2010,1,1,28.02
-13.0,35.0,2010,1,1,24.98
-13.0,35.625,2010,1,1,22.18
-13.0,36.25,2010,1,1,23.66
-13.0,36.875,2010,1,1,24.61
-12.5,32.5,2010,1,1,23.39
-12.5,33.125,2010,1,1,21.97
-12.5,33.75,2010,1,1,22.45
-12.5,34.375,2010,1,1,28.5
-12.5,35.0,2010,1,1,25.24
-12.5,35.625,2010,1,1,22.78
-12.5,36.25,2010,1,1,23.57
-12.5,36.875,2010,1,1,24.75
-12.0,32.5,2010,1,1,23.71
-12.0,33.125,2010,1,1,21.79
-12.0,33.75,2010,1,1,21.3
-12.0,34.375,2010,1,1,27.98
-12.0,35.0,2010,1,1,25.71
-12.0,35.625,2010,1,1,23.73
-12.0,36.25,2010,1,1,24.44
-12.0,36.875,2010,1,1,24.85
-11.5,32.5,2010,1,1,23.37
-11.5,33.125,2010,1,1,22.46
-11.5,33.75,2010,1,1,20.71
-11.5,34.375,2010,1,1,27.73
-11.5,35.0,2010,1,1,24.86
-11.5,35.625,2010,1,1,24.3
-11.5,36.25,2010,1,1,24.43
-11.5,36.875,2010,1,1,24.69
-11.0,32.5,2010,1,1,22.3
-11.0,33.125,2010,1,1,23.09
-11.0,33.75,2010,1,1,20.79
-11.0,34.375,2010,1,1,27.85
-11.0,35.0,2010,1,1,23.32
-11.0,35.625,2010,1,1,23.26
-11.0,36.25,2010,1,1,23.5
-11.0,36.875,2010,1,1,23.36
-10.5,32.5,2010,1,1,21.51
-10.5,33.125,2010,1,1,22.28
-10.5,33.75,2010,1,1,20.34
-10.5,34.375,2010,1,1,28.16
-10.5,35.0,2010,1,1,23.8
-10.5,35.625,2010,1,1,23.05
-10.5,36.25,2010,1,1,23.28
-10.5,36.875,2010,1,1,23.78
-10.0,32.5,2010,1,1,20.89
-10.0,33.125,2010,1,1,21.94
