-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/30/2015 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS2M     MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
LAT,LON,YEAR,MO,DY,WS2M
-17.0,32.5,2015,1,1,3.23
-17.0,33.125,2015,1,1,2.98
-17.0,33.75,2015,1,1,3.16
-17.0,34.375,2015,1,1,2.79
-17.0,35.0,2015,1,1,2.14
-17.0,35.625,2015,1,1,2.03
-17.0,36.25,2015,1,1,1.81
-17.0,36.875,2015,1,1,1.46
-16.5,32.5,2015,1,1,3.04
-16.5,33.125,2015,1,1,2.92
-16.5,33.75,2015,1,1,2.75
-16.5,34.375,2015,1,1,2.45
-16.5,35.0,2015,1,1,1.71
-16.5,35.625,2015,1,1,1.45
-16.5,36.25,2015,1,1,1.35
-16.5,36.875,2015,1,1,1.11
-16.0,32.5,2015,1,1,2.12
-16.0,33.125,2015,1,1,2.16
-16.0,33.75,2015,1,1,2.08
-16.0,34.375,2015,1,1,1.71
-16.0,35.0,2015,1,1,0.98
-16.0,35.625,2015,1,1,0.97
-16.0,36.25,2015,1,1,1.22
-16.0,36.875,2015,1,1,1.15
-15.5,32.5,2015,1,1,1.73
-15.5,33.125,2015,1,1,1.53
-15.5,33.75,2015,1,1,1.15
-15.5,34.375,2015,1,1,0.94
-15.5,35.0,2015,1,1,0.82
-15.5,35.625,2015,1,1,1.13
-15.5,36.25,2015,1,1,1.13
-15.5,36.875,2015,1,1,1.42
-15.0,32.5,2015,1,1,1.47
-15.0,33.125,2015,1,1,1.61
-15.0,33.75,2015,1,1,1.52
-15.0,34.375,2015,1,1,1.19
-15.0,35.0,2015,1,1,1.15
-15.0,35.625,2015,1,1,1.72
-15.0,36.25,2015,1,1,1.9
-15.0,36.875,2015,1,1,1.5
-14.5,32.5,2015,1,1,1.86
-14.5,33.125,2015,1,1,1.79
-14.5,33.75,2015,1,1,1.7
-14.5,34.375,2015,1,1,1.14
-14.5,35.0,2015,1,1,1.66
-14.5,35.625,2015,1,1,2.04
-14.5,36.25,2015,1,1,1.72
-14.5,36.875,2015,1,1,1.54
-14.0,32.5,2015,1,1,2.28
-14.0,33.125,2015,1,1,2.04
-14.0,33.75,2015,1,1,1.81
-14.0,34.375,2015,1,1,1.78
-14.0,35.0,2015,1,1,2.84
-14.0,35.625,2015,1,1,2.17
-14.0,36.25,2015,1,1,1.68
-14.0,36.875,2015,1,1,1.72
-13.5,32.5,2015,1,1,2.14
-13.5,33.125,2015,1,1,2.3
-13.5,33.75,2015,1,1,2.09
-13.5,34.375,2015,1,1,2.73
-13.5,35.0,2015,1,1,2.61
-13.5,35.625,2015,1,1,1.98
-13.5,36.25,2015,1,1,1.36
-13.5,36.875,2015,1,1,0.5
-13.0,32.5,2015,1,1,2.1
-13.0,33.125,2015,1,1,2.4
-13.0,33.75,2015,1,1,1.98
-13.0,34.375,2015,1,1,2.88
-13.0,35.0,2015,1,1,2.36
-13.0,35.625,2015,1,1,1.82
-13.0,36.25,2015,1,1,0.68
-13.0,36.875,2015,1,1,1.64
-12.5,32.5,2015,1,1,1.96
-12.5,33.125,2015,1,1,2.32
-12.5,33.75,2015,1,1,2.06
-12.5,34.375,2015,1,1,2.12
-12.5,35.0,2015,1,1,1.96
-12.5,35.625,2015,1,1,1.58
-12.5,36.25,2015,1,1,1.19
-12.5,36.875,2015,1,1,1.5
-12.0,32.5,2015,1,1,1.7
-12.0,33.125,2015,1,1,2.04
-12.0,33.75,2015,1,1,1.8
-12.0,34.375,2015,1,1,1.48
-12.0,35.0,2015,1,1,1.71
-12.0,35.625,2015,1,1,1.27
-12.0,36.25,2015,1,1,1.4
-12.0,36.875,2015,1,1,1.61
-11.5,32.5,2015,1,1,2.0
-11.5,33.125,2015,1,1,1.85
-11.5,33.75,2015,1,1,2.32
-11.5,34.375,2015,1,1,2.46
-11.5,35.0,2015,1,1,1.45
-11.5,35.625,2015,1,1,1.17
-11.5,36.25,2015,1,1,1.73
-11.5,36.875,2015,1,1,2.07
-11.0,32.5,2015,1,1,2.76
-11.0,33.125,2015,1,1,1.99
-11.0,33.75,2015,1,1,2.44
-11.0,34.375,2015,1,1,1.83
-11.0,35.0,2015,1,1,1.36
-11.0,35.625,2015,1,1,0.83
-11.0,36.25,2015,1,1,2.08
-11.0,36.875,2015,1,1,2.32
-10.5,32.5,2015,1,1,3.09
-10.5,33.125,2015,1,1,2.07
-10.5,33.75,2015,1,1,1.74
-10.5,34.375,2015,1,1,2.62
-10.5,35.0,2015,1,1,1.23
-10.5,35.625,2015,1,1,1.64
-10.5,36.25,2015,1,1,1.77
-10.5,36.875,2015,1,1,2.41
-10.0,32.5,2015,1,1,2.96
-10.0,33.125,2015,1,1,2.19
-10.0,33.75,2015,1,1,2.49
-10.0,34.375,2015,1,1,3.32
-10.0,35.0,2015,1,1,0.83
-10.0,35.625,2015,1,1,0.53
-10.0,36.25,2015,1,1,0.85
-10.0,36.875,2015,1,1,2.05
-9.5,32.5,2015,1,1,2.67
-9.5,33.125,2015,1,1,2.9
-9.5,33.75,2015,1,1,1.25
-9.5,34.375,2015,1,1,1.52
-9.5,35.0,2015,1,1,0.74
-9.5,35.625,2015,1,1,0.03
-9.5,36.25,2015,1,1,0.28
-9.5,36.875,2015,1,1,1.54
-9.0,32.5,2015,1,1,2.02
-9.0,33.125,2015,1,1,2.44
-9.0,33.75,2015,1,1,0.93
-9.0,34.375,2015,1,1,0.55
-9.0,35.0,2015,1,1,2.33
-9.0,35.625,2015,1,1,0.11
-9.0,36.25,2015,1,1,0.65
-9.0,36.875,2015,1,1,0.27
-17.0,32.5,2015,1,2,2.5
-17.0,33.125,2015,1,2,2.56
-17.0,33.75,2015,1,2,2.66
-17.0,34.375,2015,1,2,2.38
-17.0,35.0,2015,1,2,1.93
-17.0,35.625,2015,1,2,1.72
-17.0,36.25,2015,1,2,1.47
-17.0,36.875,2015,1,2,1.48
-16.5,32.5,2015,1,2,2.47
-16.5,33.125,2015,1,2,2.47
-16.5,33.75,2015,1,2,2.5
-16.5,34.375,2015,1,2,2.37
-16.5,35.0,2015,1,2,1.59
-16.5,35.625,2015,1,2,1.37
-16.5,36.25,2015,1,2,1.27
-16.5,36.875,2015,1,2,1.19
-16.0,32.5,2015,1,2,2.28
-16.0,33.125,2015,1,2,2.17
-16.0,33.75,2015,1,2,2.02
-16.0,34.375,2015,1,2,1.69
-16.0,35.0,2015,1,2,1.27
-16.0,35.625,2015,1,2,1.21
-16.0,36.25,2015,1,2,1.26
-16.0,36.875,2015,1,2,1.21
-15.5,32.5,2015,1,2,1.85
-15.5,33.125,2015,1,2,1.97
-15.5,33.75,2015,1,2,2.09
-15.5,34.375,2015,1,2,2.05
-15.5,35.0,2015,1,2,1.73
-15.5,35.625,2015,1,2,1.69
-15.5,36.25,2015,1,2,1.17
-15.5,36.875,2015,1,2,1.26
-15.0,32.5,2015,1,2,1.81
-15.0,33.125,2015,1,2,2.25
-15.0,33.75,2015,1,2,2.65
-15.0,34.375,2015,1,2,2.27
-15.0,35.0,2015,1,2,1.41
-15.0,35.625,2015,1,2,1.88
-15.0,36.25,2015,1,2,1.51
-15.0,36.875,2015,1,2,1.37
-14.5,32.5,2015,1,2,2.25
-14.5,33.125,2015,1,2,2.4
-14.5,33.75,2015,1,2,2.51
-14.5,34.375,2015,1,2,1.37
-14.5,35.0,2015,1,2,1.57
-14.5,35.625,2015,1,2,1.88
-14.5,36.25,2015,1,2,1.5
-14.5,36.875,2015,1,2,1.29
-14.0,32.5,2015,1,2,2.28
-14.0,33.125,2015,1,2,2.33
-14.0,33.75,2015,1,2,2.27
-14.0,34.375,2015,1,2,2.05
-14.0,35.0,2015,1,2,2.91
-14.0,35.625,2015,1,2,1.85
-14.0,36.25,2015,1,2,1.5
-14.0,36.875,2015,1,2,1.53
-13.5,32.5,2015,1,2,1.95
-13.5,33.125,2015,1,2,2.37
-13.5,33.75,2015,1,2,2.34
