"District","facility","cluster","Month","Year","Incidence"
"Mangochi","DHO","Aa-salam Clinic","February","2019",451
"Mangochi","DHO","Aa-salam Clinic","March","2019",794
"Mangochi","DHO","Aa-salam Clinic","April","2019",308
"Mangochi","DHO","Aa-salam Clinic","May","2019",276
"Mangochi","DHO","Aa-salam Clinic","June","2019",291
"Mangochi","DHO","Aa-salam Clinic","July","2019",170
"Mangochi","DHO","Aa-salam Clinic","August","2019",133
"Mangochi","DHO","Aa-salam Clinic","September","2019",155
"Mangochi","DHO","Aa-salam Clinic","October","2019",128
"Mangochi","DHO","Aa-salam Clinic","November","2019",59
"Mangochi","DHO","Aa-salam Clinic","December","2019",62
"Mangochi","DHO","Aa-salam Clinic","January","2018",160
"Mangochi","DHO","Aa-salam Clinic","February","2018",258
"Mangochi","DHO","Aa-salam Clinic","July","2018",356
"Mangochi","DHO","Aa-salam Clinic","September","2018",454
"Mangochi","DHO","Aa-salam Clinic","October","2018",552
"Mangochi","DHO","Aa-salam Clinic","November","2018",650
"Lilongwe","DHO","African Bible College Health Centre","January","2019",4
"Lilongwe","DHO","African Bible College Health Centre","February","2019",4
"Lilongwe","DHO","African Bible College Health Centre","March","2019",116
"Lilongwe","DHO","African Bible College Health Centre","April","2019",94
"Lilongwe","DHO","African Bible College Health Centre","June","2019",0
"Lilongwe","DHO","African Bible College Health Centre","July","2019",0
"Lilongwe","DHO","African Bible College Health Centre","August","2019",5
"Lilongwe","DHO","African Bible College Health Centre","September","2019",17
"Lilongwe","DHO","African Bible College Health Centre","October","2019",0
"Lilongwe","DHO","African Bible College Health Centre","November","2019",0
"Lilongwe","DHO","African Bible College Health Centre","December","2019",1
"Lilongwe","DHO","African Bible College Health Centre","January","2018",4
"Lilongwe","DHO","African Bible College Health Centre","February","2018",6
"Lilongwe","DHO","African Bible College Health Centre","March","2018",8
"Lilongwe","DHO","African Bible College Health Centre","April","2018",11
"Lilongwe","DHO","African Bible College Health Centre","May","2018",13
"Lilongwe","DHO","African Bible College Health Centre","June","2018",16
"Lilongwe","DHO","African Bible College Health Centre","July","2018",18
"Lilongwe","DHO","African Bible College Health Centre","August","2018",21
"Lilongwe","DHO","African Bible College Health Centre","September","2018",84
"Lilongwe","DHO","African Bible College Health Centre","October","2018",148
"Lilongwe","DHO","African Bible College Health Centre","November","2018",211
"Lilongwe","DHO","African Bible College Health Centre","December","2018",275
"Lilongwe","DHO","Airwing Dispensary","January","2019",338
"Lilongwe","DHO","Airwing Dispensary","February","2019",312
"Lilongwe","DHO","Airwing Dispensary","March","2019",621
"Lilongwe","DHO","Airwing Dispensary","April","2019",609
"Lilongwe","DHO","Airwing Dispensary","May","2019",587
"Lilongwe","DHO","Airwing Dispensary","June","2019",487
"Lilongwe","DHO","Airwing Dispensary","July","2019",121
"Lilongwe","DHO","Airwing Dispensary","August","2019",109
"Lilongwe","DHO","Airwing Dispensary","September","2019",92
"Lilongwe","DHO","Airwing Dispensary","October","2019",133
"Lilongwe","DHO","Airwing Dispensary","November","2019",193
"Lilongwe","DHO","Airwing Dispensary","December","2019",198
"Lilongwe","DHO","Airwing Dispensary","March","2018",264
"Lilongwe","DHO","Airwing Dispensary","July","2018",331
"Lilongwe","DHO","Airwing Dispensary","August","2018",220
"Lilongwe","DHO","Airwing Dispensary","October","2018",157
"Lilongwe","DHO","Airwing Dispensary","November","2018",95
"Lilongwe","DHO","Airwing Dispensary","December","2018",138
"Nkhotakota","DHO","Alinafe Community Hospital","January","2019",91
"Nkhotakota","DHO","Alinafe Community Hospital","February","2019",48
"Nkhotakota","DHO","Alinafe Community Hospital","March","2019",46
"Nkhotakota","DHO","Alinafe Community Hospital","April","2019",64
"Nkhotakota","DHO","Alinafe Community Hospital","May","2019",114
"Nkhotakota","DHO","Alinafe Community Hospital","June","2019",88
"Nkhotakota","DHO","Alinafe Community Hospital","July","2019",81
"Nkhotakota","DHO","Alinafe Community Hospital","August","2019",80
"Nkhotakota","DHO","Alinafe Community Hospital","September","2019",74
"Nkhotakota","DHO","Alinafe Community Hospital","October","2019",132
"Nkhotakota","DHO","Alinafe Community Hospital","November","2019",100
"Nkhotakota","DHO","Alinafe Community Hospital","December","2019",51
"Nkhotakota","DHO","Alinafe Community Hospital","January","2018",80
"Nkhotakota","DHO","Alinafe Community Hospital","February","2018",108
"Nkhotakota","DHO","Alinafe Community Hospital","March","2018",137
"Nkhotakota","DHO","Alinafe Community Hospital","April","2018",165
"Nkhotakota","DHO","Alinafe Community Hospital","May","2018",194
"Nkhotakota","DHO","Alinafe Community Hospital","June","2018",223
"Nkhotakota","DHO","Alinafe Community Hospital","July","2018",251
"Nkhotakota","DHO","Alinafe Community Hospital","August","2018",280
"Nkhotakota","DHO","Alinafe Community Hospital","September","2018",309
"Nkhotakota","DHO","Alinafe Community Hospital","October","2018",337
"Nkhotakota","DHO","Alinafe Community Hospital","November","2018",366
"Nkhotakota","DHO","Alinafe Community Hospital","December","2018",394
"Chikwawa","DHO","Alumenda Clinic (Illovo Private)","January","2019",34
"Chikwawa","DHO","Alumenda Clinic (Illovo Private)","February","2019",88
"Chikwawa","DHO","Alumenda Clinic (Illovo Private)","March","2019",92
"Chikwawa","DHO","Alumenda Clinic (Illovo Private)","April","2019",136
"Chikwawa","DHO","Alumenda Clinic (Illovo Private)","May","2019",194
"Chikwawa","DHO","Alumenda Clinic (Illovo Private)","June","2019",139
"Chikwawa","DHO","Alumenda Clinic (Illovo Private)","July","2019",91
"Chikwawa","DHO","Alumenda Clinic (Illovo Private)","August","2019",155
"Chikwawa","DHO","Alumenda Clinic (Illovo Private)","September","2019",114
"Chikwawa","DHO","Alumenda Clinic (Illovo Private)","October","2019",43
"Chikwawa","DHO","Alumenda Clinic (Illovo Private)","November","2019",8
"Chikwawa","DHO","Alumenda Clinic (Illovo Private)","December","2019",3
"Chikwawa","DHO","Alumenda Clinic (Illovo Private)","January","2018",39
"Chikwawa","DHO","Alumenda Clinic (Illovo Private)","February","2018",75
"Chikwawa","DHO","Alumenda Clinic (Illovo Private)","March","2018",110
"Chikwawa","DHO","Alumenda Clinic (Illovo Private)","April","2018",146
"Chikwawa","DHO","Alumenda Clinic (Illovo Private)","May","2018",182
"Chikwawa","DHO","Alumenda Clinic (Illovo Private)","June","2018",218
"Chikwawa","DHO","Alumenda Clinic (Illovo Private)","July","2018",253
"Chikwawa","DHO","Alumenda Clinic (Illovo Private)","August","2018",289
"Chikwawa","DHO","Alumenda Clinic (Illovo Private)","September","2018",325
"Chikwawa","DHO","Alumenda Clinic (Illovo Private)","October","2018",361
"Chikwawa","DHO","Alumenda Clinic (Illovo Private)","November","2018",396
"Chikwawa","DHO","Alumenda Clinic (Illovo Private)","December","2018",432
"Thyolo","DHO","Amalika Dispensary","January","2019",57
"Thyolo","DHO","Amalika Dispensary","February","2019",58
"Thyolo","DHO","Amalika Dispensary","March","2019",25
"Thyolo","DHO","Amalika Dispensary","April","2019",21
"Thyolo","DHO","Amalika Dispensary","May","2019",72
"Thyolo","DHO","Amalika Dispensary","June","2019",27
"Thyolo","DHO","Amalika Dispensary","July","2019",19
"Thyolo","DHO","Amalika Dispensary","August","2019",41
"Thyolo","DHO","Amalika Dispensary","September","2019",27
"Thyolo","DHO","Amalika Dispensary","October","2019",34
"Thyolo","DHO","Amalika Dispensary","November","2019",20
"Thyolo","DHO","Amalika Dispensary","December","2019",23
"Thyolo","DHO","Amalika Dispensary","January","2018",39
"Thyolo","DHO","Amalika Dispensary","February","2018",51
"Thyolo","DHO","Amalika Dispensary","March","2018",63
"Thyolo","DHO","Amalika Dispensary","April","2018",75
"Thyolo","DHO","Amalika Dispensary","May","2018",87
"Thyolo","DHO","Amalika Dispensary","June","2018",99
"Thyolo","DHO","Amalika Dispensary","July","2018",111
"Thyolo","DHO","Amalika Dispensary","August","2018",123
"Thyolo","DHO","Amalika Dispensary","September","2018",136
"Thyolo","DHO","Amalika Dispensary","October","2018",148
"Thyolo","DHO","Amalika Dispensary","November","2018",160
"Thyolo","DHO","Amalika Dispensary","December","2018",172
"Kasungu","DHO","Anchor Farm Health Centre","January","2019",516
"Kasungu","DHO","Anchor Farm Health Centre","February","2019",810
"Kasungu","DHO","Anchor Farm Health Centre","March","2019",759
"Kasungu","DHO","Anchor Farm Health Centre","April","2019",818
"Kasungu","DHO","Anchor Farm Health Centre","May","2019",1115
"Kasungu","DHO","Anchor Farm Health Centre","June","2019",582
"Kasungu","DHO","Anchor Farm Health Centre","July","2019",281
"Kasungu","DHO","Anchor Farm Health Centre","August","2019",153
"Kasungu","DHO","Anchor Farm Health Centre","September","2019",167
"Kasungu","DHO","Anchor Farm Health Centre","October","2019",186
"Kasungu","DHO","Anchor Farm Health Centre","November","2019",184
"Kasungu","DHO","Anchor Farm Health Centre","December","2019",73
"Kasungu","DHO","Anchor Farm Health Centre","January","2018",146
"Kasungu","DHO","Anchor Farm Health Centre","February","2018",208
"Kasungu","DHO","Anchor Farm Health Centre","March","2018",270
"Kasungu","DHO","Anchor Farm Health Centre","April","2018",332
"Kasungu","DHO","Anchor Farm Health Centre","May","2018",394
"Kasungu","DHO","Anchor Farm Health Centre","June","2018",456
"Kasungu","DHO","Anchor Farm Health Centre","July","2018",518
"Kasungu","DHO","Anchor Farm Health Centre","August","2018",580
"Kasungu","DHO","Anchor Farm Health Centre","September","2018",641
"Kasungu","DHO","Anchor Farm Health Centre","October","2018",703
"Kasungu","DHO","Anchor Farm Health Centre","November","2018",765
"Kasungu","DHO","Anchor Farm Health Centre","December","2018",827
"Lilongwe","DHO","Area 18 Urban Health Centre","January","2019",724
"Lilongwe","DHO","Area 18 Urban Health Centre","February","2019",536
"Lilongwe","DHO","Area 18 Urban Health Centre","April","2019",783
"Lilongwe","DHO","Area 18 Urban Health Centre","May","2019",944
"Lilongwe","DHO","Area 18 Urban Health Centre","June","2019",448
"Lilongwe","DHO","Area 18 Urban Health Centre","July","2019",155
"Lilongwe","DHO","Area 18 Urban Health Centre","August","2019",230
"Lilongwe","DHO","Area 18 Urban Health Centre","September","2019",239
"Lilongwe","DHO","Area 18 Urban Health Centre","October","2019",232
"Lilongwe","DHO","Area 18 Urban Health Centre","November","2019",230
"Lilongwe","DHO","Area 18 Urban Health Centre","December","2019",513
"Lilongwe","DHO","Area 18 Urban Health Centre","January","2018",729
"Lilongwe","DHO","Area 18 Urban Health Centre","February","2018",946
"Lilongwe","DHO","Area 18 Urban Health Centre","March","2018",1162
"Lilongwe","DHO","Area 18 Urban Health Centre","April","2018",1378
"Lilongwe","DHO","Area 18 Urban Health Centre","May","2018",1595
"Lilongwe","DHO","Area 18 Urban Health Centre","June","2018",1811
"Lilongwe","DHO","Area 18 Urban Health Centre","July","2018",2027
"Lilongwe","DHO","Area 18 Urban Health Centre","August","2018",2243
"Lilongwe","DHO","Area 18 Urban Health Centre","September","2018",2460
"Lilongwe","DHO","Area 18 Urban Health Centre","October","2018",2676
"Lilongwe","DHO","Area 18 Urban Health Centre","November","2018",2892
"Lilongwe","DHO","Area 18 Urban Health Centre","December","2018",3109
"Lilongwe","DHO","Area 25 Urban Health Centre","January","2019",3325
