"","District","Month","Year","Cases"
"1","Balaka-DHO","January",2015,15656
"2","Blantyre-DHO","January",2015,39051
"3","Chikwawa-DHO","January",2015,13720
"4","Chiradzulu-DHO","January",2015,11379
"5","Chitipa-DHO","January",2015,6824
"6","Dedza-DHO","January",2015,37641
"7","Dowa-DHO","January",2015,36612
"8","Karonga-DHO","January",2015,15578
"9","Kasungu-DHO","January",2015,40327
"10","Likoma-DHO","January",2015,528
"11","Lilongwe-DHO","January",2015,71561
"12","Machinga-DHO","January",2015,23265
"13","Mangochi-DHO","January",2015,29475
"14","Mchinji-DHO","January",2015,18788
"15","Mulanje-DHO","January",2015,36746
"16","Mwanza-DHO","January",2015,11044
"17","Mzimba-North-DHO","January",2015,14031
"18","Mzimba-South-DHO","January",2015,19057
"19","Neno-DHO","January",2015,11125
"20","Nkhata-Bay-DHO","January",2015,25237
"21","Nkhotakota-DHO","January",2015,24192
"22","Nsanje-DHO","January",2015,14313
"23","Ntcheu-DHO","January",2015,36257
"24","Ntchisi-DHO","January",2015,25540
"25","Phalombe-DHO","January",2015,10681
"26","Rumphi-DHO","January",2015,13044
"27","Salima-DHO","January",2015,29500
"28","Thyolo-DHO","January",2015,21402
"29","Zomba-DHO","January",2015,32673
"30","Balaka-DHO","February",2015,18171
"31","Blantyre-DHO","February",2015,31896
"32","Chikwawa-DHO","February",2015,18663
"33","Chiradzulu-DHO","February",2015,9644
"34","Chitipa-DHO","February",2015,7478
"35","Dedza-DHO","February",2015,26019
"36","Dowa-DHO","February",2015,28483
"37","Karonga-DHO","February",2015,19737
"38","Kasungu-DHO","February",2015,45866
"39","Likoma-DHO","February",2015,325
"40","Lilongwe-DHO","February",2015,70543
"41","Machinga-DHO","February",2015,29969
"42","Mangochi-DHO","February",2015,33669
"43","Mchinji-DHO","February",2015,21162
"44","Mulanje-DHO","February",2015,23654
"45","Mwanza-DHO","February",2015,9255
"46","Mzimba-North-DHO","February",2015,16336
"47","Mzimba-South-DHO","February",2015,19201
"48","Neno-DHO","February",2015,8028
"49","Nkhata-Bay-DHO","February",2015,18666
"50","Nkhotakota-DHO","February",2015,29272
"51","Nsanje-DHO","February",2015,15390
"52","Ntcheu-DHO","February",2015,30392
"53","Ntchisi-DHO","February",2015,19447
"54","Phalombe-DHO","February",2015,10322
"55","Rumphi-DHO","February",2015,11090
"56","Salima-DHO","February",2015,27393
"57","Thyolo-DHO","February",2015,15767
"58","Zomba-DHO","February",2015,31175
"59","Balaka-DHO","March",2015,25360
"60","Blantyre-DHO","March",2015,27420
"61","Chikwawa-DHO","March",2015,24412
"62","Chiradzulu-DHO","March",2015,9229
"63","Chitipa-DHO","March",2015,9262
"64","Dedza-DHO","March",2015,31079
"65","Dowa-DHO","March",2015,31887
"66","Karonga-DHO","March",2015,17759
"67","Kasungu-DHO","March",2015,51738
"68","Likoma-DHO","March",2015,365
"69","Lilongwe-DHO","March",2015,84135
"70","Machinga-DHO","March",2015,44882
"71","Mangochi-DHO","March",2015,31342
"72","Mchinji-DHO","March",2015,22596
"73","Mulanje-DHO","March",2015,26017
"74","Mwanza-DHO","March",2015,10679
"75","Mzimba-North-DHO","March",2015,21932
"76","Mzimba-South-DHO","March",2015,24707
"77","Neno-DHO","March",2015,8360
"78","Nkhata-Bay-DHO","March",2015,24082
"79","Nkhotakota-DHO","March",2015,29425
"80","Nsanje-DHO","March",2015,18375
"81","Ntcheu-DHO","March",2015,34978
"82","Ntchisi-DHO","March",2015,28666
"83","Phalombe-DHO","March",2015,9041
"84","Rumphi-DHO","March",2015,13438
"85","Salima-DHO","March",2015,31721
"86","Thyolo-DHO","March",2015,15248
"87","Zomba-DHO","March",2015,27851
"88","Balaka-DHO","April",2015,27976
"89","Blantyre-DHO","April",2015,34883
"90","Chikwawa-DHO","April",2015,32628
"91","Chiradzulu-DHO","April",2015,15959
"92","Chitipa-DHO","April",2015,9301
"93","Dedza-DHO","April",2015,34199
"94","Dowa-DHO","April",2015,43014
"95","Karonga-DHO","April",2015,22827
"96","Kasungu-DHO","April",2015,60340
"97","Likoma-DHO","April",2015,533
"98","Lilongwe-DHO","April",2015,91833
"99","Machinga-DHO","April",2015,25013
"100","Mangochi-DHO","April",2015,43080
"101","Mchinji-DHO","April",2015,24877
"102","Mulanje-DHO","April",2015,28626
