District,Incidence_Month,Year,Incidence_per_1k,Temperature,Precipitation,lag1_rainfall,lag2_rainfall,lag3_rainfall,lag1_temperature,lag2_temperature,lag3_temperature
Balaka,April,2018,80.5487,295.855,0.01,0.01,0.02,0.01,297.434,297.607,297.506
Balaka,May,2018,66.012200000000007,294.801,0,0.01,0.01,0.02,295.855,297.434,297.607
Balaka,June,2018,28.4061,292.411,0,0,0.01,0.01,294.801,295.855,297.434
Balaka,July,2018,20.9347,291.335,0,0,0,0.01,292.411,294.801,295.855
Balaka,August,2018,17.0414,295.088,0,0,0,0,291.335,292.411,294.801
Balaka,September,2018,19.9619,298.098,0,0,0,0,295.088,291.335,292.411
Balaka,October,2018,17.1624,297.742,0,0,0,0,298.098,295.088,291.335
Balaka,November,2018,13.1207,298.358,0.01,0,0,0,297.742,298.098,295.088
Balaka,December,2018,18.8933,297.547,0.02,0.01,0,0,298.358,297.742,298.098
Balaka,January,2019,99.8046,296.986,0.02,0.02,0.01,0,297.547,298.358,297.742
Balaka,February,2019,54.7786,297.239,0.01,0.02,0.02,0.01,296.986,297.547,298.358
Balaka,March,2019,61.8457,296.82,0.03,0.01,0.02,0.02,297.239,296.986,297.547
Balaka,April,2019,61.4554,296.442,0,0.03,0.01,0.02,296.82,297.239,296.986
Balaka,May,2019,64.0721,293.852,0,0,0.03,0.01,296.442,296.82,297.239
Balaka,June,2019,33.9874,291.502,0,0,0,0.03,293.852,296.442,296.82
Balaka,July,2019,27.4458,291.536,0,0,0,0,291.502,293.852,296.442
Balaka,August,2019,22.7381,294.467,0,0,0,0,291.536,291.502,293.852
Balaka,September,2019,20.8333,295.762,0,0,0,0,294.467,291.536,291.502
Balaka,October,2019,21.5074,299.799,0,0,0,0,295.762,294.467,291.536
Balaka,November,2019,16.5025,300.448,0.01,0,0,0,299.799,295.762,294.467
Balaka,December,2019,26.0111,298.378,0.02,0.01,0,0,300.448,299.799,295.762
Balaka,January,2020,64.9856,296.889,0.03,0.02,0.01,0,298.378,300.448,299.799
Balaka,February,2020,65.3152,297.481,0.01,0.03,0.02,0.01,296.889,298.378,300.448
Balaka,March,2020,95.9162,297.039,0,0.01,0.03,0.02,297.481,296.889,298.378
Balaka,April,2020,69.1678,297.16,0,0,0.01,0.03,297.039,297.481,296.889
Balaka,May,2020,51.773,294.08,0,0,0,0.01,297.16,297.039,297.481
Balaka,June,2020,35.5783,292.129,0,0,0,0,294.08,297.16,297.039
Balaka,July,2020,12.7062,291.32,0,0,0,0,292.129,294.08,297.16
Balaka,August,2020,16.6515,294.127,0,0,0,0,291.32,292.129,294.08
Balaka,September,2020,20.6053,296.598,0,0,0,0,294.127,291.32,292.129
Balaka,October,2020,18.1318,299.146,0,0,0,0,296.598,294.127,291.32
Balaka,November,2020,17.5521,301.503,0,0,0,0,299.146,296.598,294.127
Balaka,December,2020,10.9976,298.863,0.01,0,0,0,301.503,299.146,296.598
Balaka,January,2021,24.226,297.64,0.02,0.01,0,0,298.863,301.503,299.146
Balaka,February,2021,18.1093,297.959,0.02,0.02,0.01,0,297.64,298.863,301.503
Balaka,March,2021,41.623,296.081,0.02,0.02,0.02,0.01,297.959,297.64,298.863
Balaka,April,2021,42.5007,294.826,0,0.02,0.02,0.02,296.081,297.959,297.64
Balaka,May,2021,51.7743,292.578,0,0,0.02,0.02,294.826,296.081,297.959
Balaka,June,2021,36.1557,291.509,0,0,0,0.02,292.578,294.826,296.081
Balaka,July,2021,24.7245,291.132,0,0,0,0,291.509,292.578,294.826
Balaka,August,2021,17.7511,293.424,0,0,0,0,291.132,291.509,292.578
Balaka,September,2021,20.9414,296.106,0,0,0,0,293.424,291.132,291.509
Balaka,October,2021,16.6597,298.403,0,0,0,0,296.106,293.424,291.132
Balaka,November,2021,11.6825,300.872,0,0,0,0,298.403,296.106,293.424
Balaka,December,2021,7.3757,301.071,0,0,0,0,300.872,298.403,296.106
Balaka,January,2022,8.4087,296.793,0.03,0,0,0,301.071,300.872,298.403
Balaka,February,2022,13.9261,296.955,0.02,0.03,0,0,296.793,301.071,300.872
Balaka,March,2022,13.7978,296.565,0.01,0.02,0.03,0,296.955,296.793,301.071
Balaka,April,2022,29.1399,296.02,0,0.01,0.02,0.03,296.565,296.955,296.793
Balaka,May,2022,50.0526,293.714,0,0,0.01,0.02,296.02,296.565,296.955
Balaka,June,2022,38.0926,290.898,0,0,0,0.01,293.714,296.02,296.565
Balaka,July,2022,27.9297,291.387,0,0,0,0,290.898,293.714,296.02
Balaka,August,2022,37.0861,293.783,0,0,0,0,291.387,290.898,293.714
Balaka,September,2022,24.1441,295.814,0,0,0,0,293.783,291.387,290.898
Balaka,October,2022,23.8568,299.564,0,0,0,0,295.814,293.783,291.387
Balaka,November,2022,12.8137,299.608,0,0,0,0,299.564,295.814,293.783
Balaka,December,2022,6.4873,297.236,0.02,0,0,0,299.608,299.564,295.814
Balaka,January,2023,12.529,296.645,0.02,0.02,0,0,297.236,299.608,299.564
Balaka,February,2023,13.2428,297.03,0.02,0.02,0.02,0,296.645,297.236,299.608
Balaka,March,2023,10.2489,296.405,0.03,0.02,0.02,0.02,297.03,296.645,297.236
Balaka,April,2023,16.3181,295.35,0.01,0.03,0.02,0.02,296.405,297.03,296.645
Balaka,May,2023,15.7609,294.311,0,0.01,0.03,0.02,295.35,296.405,297.03
Balaka,June,2023,28.4069,293.506,0,0,0.01,0.03,294.311,295.35,296.405
Balaka,July,2023,22.7263,291.848,0,0,0,0.01,293.506,294.311,295.35
Balaka,August,2023,13.4768,293.646,0,0,0,0,291.848,293.506,294.311
Balaka,September,2023,14.4325,297.764,0,0,0,0,293.646,291.848,293.506
Balaka,October,2023,25.871,299.965,0,0,0,0,297.764,293.646,291.848
Balaka,November,2023,25.6806,299.527,0,0,0,0,299.965,297.764,293.646
Balaka,December,2023,12.9097,300.671,0.01,0,0,0,299.527,299.965,297.764
Balaka,January,2024,20.3841,297.961,0.02,0.01,0,0,300.671,299.527,299.965
Balaka,February,2024,27.5886,298.358,0.02,0.02,0.01,0,297.961,300.671,299.527
Balaka,March,2024,33.3531,297.595,0.01,0.02,0.02,0.01,298.358,297.961,300.671
Balaka,April,2024,46.7179,296.449,0,0.01,0.02,0.02,297.595,298.358,297.961
Balaka,May,2024,52.4572,294.339,0,0,0.01,0.02,296.449,297.595,298.358
Balaka,June,2024,25.7489,292.426,0,0,0,0.01,294.339,296.449,297.595
Balaka,July,2024,21.5713,293.467,0,0,0,0,292.426,294.339,296.449
Balaka,August,2024,18.3184,294.408,0,0,0,0,293.467,292.426,294.339
Balaka,September,2024,15.5057,296.761,0,0,0,0,294.408,293.467,292.426
Balaka,October,2024,12.4632,297.523,0,0,0,0,296.761,294.408,293.467
Balaka,November,2024,9.776,299.406,0,0,0,0,297.523,296.761,294.408
Balaka,December,2024,14.4188,299.747,0.01,0,0,0,299.406,297.523,296.761
Blantyre,April,2018,33.2112,295.99,0.01,0.01,0.02,0.01,297.524,298.014,297.92
Blantyre,May,2018,27.0543,294.943,0,0.01,0.01,0.02,295.99,297.524,298.014
Blantyre,June,2018,19.4002,292.393,0,0,0.01,0.01,294.943,295.99,297.524
Blantyre,July,2018,12.971,291.05,0,0,0,0.01,292.393,294.943,295.99
Blantyre,August,2018,12.3283,294.941,0,0,0,0,291.05,292.393,294.943
