"model","location","horizon","temporal_resolution","target_variable","forecast_date","target_end_date","quantile_coverage_0.01","quantile_coverage_0.025","quantile_coverage_0.05","quantile_coverage_0.1","quantile_coverage_0.15","quantile_coverage_0.2","quantile_coverage_0.25","quantile_coverage_0.3","quantile_coverage_0.35","quantile_coverage_0.4","quantile_coverage_0.45","quantile_coverage_0.5","quantile_coverage_0.55","quantile_coverage_0.6","quantile_coverage_0.65","quantile_coverage_0.7","quantile_coverage_0.75","quantile_coverage_0.8","quantile_coverage_0.85","quantile_coverage_0.9","quantile_coverage_0.95","quantile_coverage_0.975","quantile_coverage_0.99","coverage_10","coverage_20","coverage_30","coverage_40","coverage_50","coverage_60","coverage_70","coverage_80","coverage_90","coverage_95","coverage_98","abs_error","n_interval_scores","exists_interval_score_0","wis","dispersion","overprediction","underprediction","true_value"
"SARIMA","Balaka",1,"month","incidence",2023-03-01,2023-04-01,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,7.28092830677848,12,TRUE,4.17166093580136,2.8023879195308,1.36927301627056,0,16.3181
"SARIMA","Balaka",2,"month","incidence",2023-03-01,2023-05-01,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,24.0646233392507,12,TRUE,14.172230557326,3.31405163510508,10.858178922221,0,15.7609
"SARIMA","Balaka",3,"month","incidence",2023-03-01,2023-06-01,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,3.93565987842842,12,TRUE,3.82609391451403,3.49209775051883,0.333996163995201,0,28.4069
"SARIMA","Blantyre",1,"month","incidence",2023-03-01,2023-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.41802686578059,12,TRUE,1.13827379322211,1.12009871210121,0,0.0181750811208952,26.9227
"SARIMA","Blantyre",2,"month","incidence",2023-03-01,2023-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,2.04005244597052,12,TRUE,1.47430382180359,1.21943594967107,0,0.254867872132523,25.9314
"SARIMA","Blantyre",3,"month","incidence",2023-03-01,2023-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.9852015018814,12,TRUE,13.273308652164,1.34191717765862,0,11.9313914745054,34.8152
"SARIMA","Chikwawa",1,"month","incidence",2023-03-01,2023-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,9.92034426313258,12,TRUE,5.48484893064192,1.73500809660927,0,3.74984083403265,40.0569
"SARIMA","Chikwawa",2,"month","incidence",2023-03-01,2023-05-01,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1.18015583116566,12,TRUE,2.04753819292482,1.9959668835161,0.051571309408728,0,32.5809
"SARIMA","Chikwawa",3,"month","incidence",2023-03-01,2023-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,23.2824693553634,12,TRUE,15.718599664063,2.15677517237324,0,13.5618244916897,42.9393
"SARIMA","Chiradzulu",1,"month","incidence",2023-03-01,2023-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0506225277665653,12,TRUE,1.29672407776582,1.29452309829771,0,0.00220097946811153,14.0975
