"model","forecast_date","location","horizon","temporal_resolution","target_variable","target_end_date","type","quantile","value"
"T1_SARIMAX",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.01,0
"T1_SARIMAX",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.025,0
"T1_SARIMAX",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.05,1.52690028132352
"T1_SARIMAX",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.1,6.33426520118774
"T1_SARIMAX",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.15,9.57777148960398
"T1_SARIMAX",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.2,12.1556074663954
"T1_SARIMAX",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.25,14.3671611996148
"T1_SARIMAX",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.3,16.3532048029873
"T1_SARIMAX",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.35,18.1935701811766
"T1_SARIMAX",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.4,19.9398969553554
"T1_SARIMAX",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.45,21.6294883194486
"T1_SARIMAX",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.5,23.2922918507983
"T1_SARIMAX",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.55,24.955095382148
"T1_SARIMAX",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.6,26.6446867462411
"T1_SARIMAX",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.65,28.39101352042
"T1_SARIMAX",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.7,30.2313788986092
"T1_SARIMAX",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.75,32.2174225019818
"T1_SARIMAX",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.8,34.4289762352011
"T1_SARIMAX",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.85,37.0068122119926
"T1_SARIMAX",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.9,40.2503185004088
"T1_SARIMAX",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.95,45.057683420273
