"model","location","horizon","temporal_resolution","target_variable","forecast_date","target_end_date","quantile_coverage_0.01","quantile_coverage_0.025","quantile_coverage_0.05","quantile_coverage_0.1","quantile_coverage_0.15","quantile_coverage_0.2","quantile_coverage_0.25","quantile_coverage_0.3","quantile_coverage_0.35","quantile_coverage_0.4","quantile_coverage_0.45","quantile_coverage_0.5","quantile_coverage_0.55","quantile_coverage_0.6","quantile_coverage_0.65","quantile_coverage_0.7","quantile_coverage_0.75","quantile_coverage_0.8","quantile_coverage_0.85","quantile_coverage_0.9","quantile_coverage_0.95","quantile_coverage_0.975","quantile_coverage_0.99","coverage_10","coverage_20","coverage_30","coverage_40","coverage_50","coverage_60","coverage_70","coverage_80","coverage_90","coverage_95","coverage_98","abs_error","n_interval_scores","exists_interval_score_0","wis","dispersion","overprediction","underprediction","true_value"
"T1_SARIMAX","Balaka",1,"month","incidence",2023-03-01,2023-04-01,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,6.97419185079828,12,TRUE,4.05330706475358,2.80714565741731,1.24616140733626,0,16.3181
"T1_SARIMAX","Balaka",2,"month","incidence",2023-03-01,2023-05-01,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,23.5189394952722,12,TRUE,13.7593403977134,3.32281531577378,10.4365250819396,0,15.7609
"T1_SARIMAX","Balaka",3,"month","incidence",2023-03-01,2023-06-01,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.6134807799681,12,TRUE,3.56558186035628,3.4954305220968,0.0701513382594826,0,28.4069
"T1_SARIMAX","Blantyre",1,"month","incidence",2023-03-01,2023-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.207932826021068,12,TRUE,1.08466003404105,1.07561947638796,0,0.00904055765308991,26.9227
"T1_SARIMAX","Blantyre",2,"month","incidence",2023-03-01,2023-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,4.88378420096449,12,TRUE,2.58676284363995,1.19996892301599,0,1.38679392062396,25.9314
"T1_SARIMAX","Blantyre",3,"month","incidence",2023-03-01,2023-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0436382503368,12,TRUE,17.0361212465982,1.4220470244953,0,15.6140742221029,34.8152
"T1_SARIMAX","Chikwawa",1,"month","incidence",2023-03-01,2023-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,12.3440545011904,12,TRUE,7.20614010758365,1.75823871298773,0,5.44790139459592,40.0569
"T1_SARIMAX","Chikwawa",2,"month","incidence",2023-03-01,2023-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1.37953897150055,12,TRUE,2.07615953236885,1.99872307621593,0,0.0774364561529202,32.5809
"T1_SARIMAX","Chikwawa",3,"month","incidence",2023-03-01,2023-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.1313296555538,12,TRUE,18.5503755971858,2.14305881129384,0,16.4073167858919,42.9393
"T1_SARIMAX","Chiradzulu",1,"month","incidence",2023-03-01,2023-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0556339147731713,12,TRUE,1.3114314163633,1.3090125505036,0,0.0024188658597031,14.0975
"T1_SARIMAX","Chiradzulu",2,"month","incidence",2023-03-01,2023-05-01,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.228606131230054,12,TRUE,1.52918020347173,1.51924080646173,0.00993939701000233,0,12.133
"T1_SARIMAX","Chiradzulu",3,"month","incidence",2023-03-01,2023-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.2496058068732,12,TRUE,14.3425181131226,1.30265228727774,0,13.0398658258449,23.5633
