"model","forecast_date","location","horizon","temporal_resolution","target_variable","target_end_date","type","quantile","value"
"BASELINE",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.01,0
"BASELINE",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.025,0
"BASELINE",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.05,0
"BASELINE",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.1,0
"BASELINE",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.15,0
"BASELINE",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.2,0
"BASELINE",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.25,0
"BASELINE",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.3,0.943030320316298
"BASELINE",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.35,3.41110720916777
"BASELINE",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.4,5.75307082292264
"BASELINE",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.45,8.01894772255456
"BASELINE",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.5,10.2489
"BASELINE",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.55,12.4788522774454
"BASELINE",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.6,14.7447291770774
"BASELINE",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.65,17.0866927908322
"BASELINE",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.7,19.5547696796837
"BASELINE",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.75,22.218212698025
"BASELINE",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.8,25.1840828030051
"BASELINE",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.85,28.6411666369929
"BASELINE",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.9,32.9909674994505
"BASELINE",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.95,39.438027629796
"BASELINE",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.975,45.0298908171428
"BASELINE",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.99,51.5316402353937
"BASELINE",2023-03-01,"Balaka",2,"month","incidence",2023-05-01,"quantile",0.01,0
"BASELINE",2023-03-01,"Balaka",2,"month","incidence",2023-05-01,"quantile",0.025,0
"BASELINE",2023-03-01,"Balaka",2,"month","incidence",2023-05-01,"quantile",0.05,0
"BASELINE",2023-03-01,"Balaka",2,"month","incidence",2023-05-01,"quantile",0.1,0
"BASELINE",2023-03-01,"Balaka",2,"month","incidence",2023-05-01,"quantile",0.15,0
"BASELINE",2023-03-01,"Balaka",2,"month","incidence",2023-05-01,"quantile",0.2,0
"BASELINE",2023-03-01,"Balaka",2,"month","incidence",2023-05-01,"quantile",0.25,0
"BASELINE",2023-03-01,"Balaka",2,"month","incidence",2023-05-01,"quantile",0.3,0
"BASELINE",2023-03-01,"Balaka",2,"month","incidence",2023-05-01,"quantile",0.35,0.578800698508084
"BASELINE",2023-03-01,"Balaka",2,"month","incidence",2023-05-01,"quantile",0.4,3.89083740366452
"BASELINE",2023-03-01,"Balaka",2,"month","incidence",2023-05-01,"quantile",0.45,7.09527124579189
"BASELINE",2023-03-01,"Balaka",2,"month","incidence",2023-05-01,"quantile",0.5,10.2489
"BASELINE",2023-03-01,"Balaka",2,"month","incidence",2023-05-01,"quantile",0.55,13.4025287542081
"BASELINE",2023-03-01,"Balaka",2,"month","incidence",2023-05-01,"quantile",0.6,16.6069625963355
"BASELINE",2023-03-01,"Balaka",2,"month","incidence",2023-05-01,"quantile",0.65,19.9189993014919
"BASELINE",2023-03-01,"Balaka",2,"month","incidence",2023-05-01,"quantile",0.7,23.4093871106853
"BASELINE",2023-03-01,"Balaka",2,"month","incidence",2023-05-01,"quantile",0.75,27.1760643498314
"BASELINE",2023-03-01,"Balaka",2,"month","incidence",2023-05-01,"quantile",0.8,31.3704380765312
"BASELINE",2023-03-01,"Balaka",2,"month","incidence",2023-05-01,"quantile",0.85,36.2594929208176
"BASELINE",2023-03-01,"Balaka",2,"month","incidence",2023-05-01,"quantile",0.9,42.4110402941272
"BASELINE",2023-03-01,"Balaka",2,"month","incidence",2023-05-01,"quantile",0.95,51.5285601678968
"BASELINE",2023-03-01,"Balaka",2,"month","incidence",2023-05-01,"quantile",0.975,59.4366489263774
"BASELINE",2023-03-01,"Balaka",2,"month","incidence",2023-05-01,"quantile",0.99,68.6315111328192
"BASELINE",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.01,0
"BASELINE",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.025,0
"BASELINE",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.05,0
"BASELINE",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.1,0
"BASELINE",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.15,0
"BASELINE",2023-03-01,"Balaka",3,"month","incidence",2023-06-01,"quantile",0.2,0
