"model","location","horizon","temporal_resolution","target_variable","forecast_date","target_end_date","quantile_coverage_0.01","quantile_coverage_0.025","quantile_coverage_0.05","quantile_coverage_0.1","quantile_coverage_0.15","quantile_coverage_0.2","quantile_coverage_0.25","quantile_coverage_0.3","quantile_coverage_0.35","quantile_coverage_0.4","quantile_coverage_0.45","quantile_coverage_0.5","quantile_coverage_0.55","quantile_coverage_0.6","quantile_coverage_0.65","quantile_coverage_0.7","quantile_coverage_0.75","quantile_coverage_0.8","quantile_coverage_0.85","quantile_coverage_0.9","quantile_coverage_0.95","quantile_coverage_0.975","quantile_coverage_0.99","coverage_10","coverage_20","coverage_30","coverage_40","coverage_50","coverage_60","coverage_70","coverage_80","coverage_90","coverage_95","coverage_98","abs_error","n_interval_scores","exists_interval_score_0","wis","dispersion","overprediction","underprediction","true_value"
"BASELINE","Balaka",1,"month","incidence",2023-03-01,2023-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,6.0692,12,TRUE,4.0191671507049,3.28462640761992,0,0.734540743084973,16.3181
"BASELINE","Balaka",2,"month","incidence",2023-03-01,2023-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,5.512,12,TRUE,4.72415337905039,4.2794254446337,0,0.444727934416686,15.7609
"BASELINE","Balaka",3,"month","incidence",2023-03-01,2023-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,18.158,12,TRUE,8.63622253357026,4.97535634391935,0,3.66086618965091,28.4069
"BASELINE","Blantyre",1,"month","incidence",2023-03-01,2023-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,2.0629,12,TRUE,1.74107926159221,1.52915113127242,0,0.211928130319785,26.9227
"BASELINE","Blantyre",2,"month","incidence",2023-03-01,2023-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0716,12,TRUE,2.20913757311145,2.16254626876362,0,0.0465913043478261,25.9314
"BASELINE","Blantyre",3,"month","incidence",2023-03-01,2023-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,9.9554,12,TRUE,5.28422687494637,2.6450386252092,0,2.63918824973717,34.8152
"BASELINE","Chikwawa",1,"month","incidence",2023-03-01,2023-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,12.4849,12,TRUE,6.85188520410463,2.27315729624277,0,4.57872790786187,40.0569
"BASELINE","Chikwawa",2,"month","incidence",2023-03-01,2023-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,5.0089,12,TRUE,3.79547570072118,3.20383733055528,0,0.591638370165895,32.5809
"BASELINE","Chikwawa",3,"month","incidence",2023-03-01,2023-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,15.3673,12,TRUE,8.08773948134055,3.89275090976842,0,4.19498857157213,42.9393
"BASELINE","Chiradzulu",1,"month","incidence",2023-03-01,2023-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,2.0466,12,TRUE,1.82159936047013,1.63129028914132,0,0.190309071328808,14.0975
"BASELINE","Chiradzulu",2,"month","incidence",2023-03-01,2023-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0820999999999987,12,TRUE,2.25670852442085,2.25313895920346,0,0.00356956521739125,12.133
"BASELINE","Chiradzulu",3,"month","incidence",2023-03-01,2023-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,11.5124,12,TRUE,5.93574636717439,2.69224855857142,0,3.24349780860297,23.5633
"BASELINE","Chitipa",1,"month","incidence",2023-03-01,2023-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,6.8228,12,TRUE,3.5740355826651,1.89287880229297,0,1.68115678037213,16.1438
"BASELINE","Chitipa",2,"month","incidence",2023-03-01,2023-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,9.3209,12,TRUE,4.75540400080506,2.53475707400342,0,2.22064692680163,18.6419
"BASELINE","Chitipa",3,"month","incidence",2023-03-01,2023-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,12.061,12,TRUE,6.00260317186414,2.97426720184419,0,3.02833597001995,21.382
"BASELINE","Dedza",1,"month","incidence",2023-03-01,2023-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.910499999999999,12,TRUE,2.00935057770094,1.9697636211792,0,0.0395869565217391,33.7046
"BASELINE","Dedza",2,"month","incidence",2023-03-01,2023-05-01,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,9.1219,12,TRUE,4.91637755287491,2.78566642774077,2.13071112513415,0,23.6722
"BASELINE","Dedza",3,"month","incidence",2023-03-01,2023-06-01,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,8.9797,12,TRUE,5.12724629913313,3.40785560695574,1.7193906921774,0,23.8144
"BASELINE","Dowa",1,"month","incidence",2023-03-01,2023-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2.7974,12,TRUE,2.97691500065053,2.76387461432515,0,0.213040386325389,14.3179
"BASELINE","Dowa",2,"month","incidence",2023-03-01,2023-05-01,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.3088,12,TRUE,3.70591621501378,3.6490118671877,0.0569043478260869,0,10.2117
